[INFO] [1789098663.004232884] [lidar_inertial_odometer]: lidar_inertial_odometer ready (fused point-to-point + point-to-plane ICP)
[INFO] [1789098663.004316795] [lidar_inertial_odometer]:   topics : lidar='/points_raw' imu='/imu_raw'
[INFO] [1789098663.004325119] [lidar_inertial_odometer]:   frames : odom -> imu_link -> velodyne
[INFO] [1789098663.004331253] [lidar_inertial_odometer]:   ring   : selection=all band=[31,63] -> 33/64 ch (dropped 0 above + 31 below)
[INFO] [1789098663.004338427] [lidar_inertial_odometer]:   normal : neighborhood_pca
[INFO] [1789098663.004343877] [lidar_inertial_odometer]:   icp    : alpha (point) 0, beta (plane) 1, huber 0.2 m
[INFO] [1789098668.525020541] [lidar_inertial_odometer]: static TF imu_link -> velodyne : t=[0.8105 -0.3071 0.8027]
[INFO] [1789098676.951969996] [lidar_inertial_odometer]: odometer initialized (t=1317400964.327)
[lio] initialized at t=1317400964.326695 | |a|=9.843 m/s^2
[lio] t=1317400964.327 | feat 1583/5727 | map      0 | icp REJ iter  0 corr     0 rms 0.0000    0.00 ms | p=(    0.00     0.00  -0.00) v=0.00 m/s [KF]
[lio] t=1317400964.431 | feat 1603/5844 | map   1316 | icp ok  iter  4 corr  1368 rms 0.0426    8.90 ms | p=(    0.56    -0.25   0.04) v=4.02 m/s
[lio] t=1317400964.535 | feat 1514/5833 | map   1316 | icp ok  iter  4 corr  1277 rms 0.0716    8.21 ms | p=(    1.10    -0.50   0.09) v=5.09 m/s [KF]
[lio] t=1317400964.639 | feat 1458/5784 | map   1977 | icp ok  iter  3 corr  1307 rms 0.0706    6.95 ms | p=(    1.68    -0.76   0.13) v=5.75 m/s
[lio] t=1317400964.743 | feat 1523/5717 | map   1977 | icp ok  iter  3 corr  1330 rms 0.0907    7.24 ms | p=(    2.24    -1.03   0.18) v=5.94 m/s [KF]
[lio] t=1317400964.847 | feat 1505/5569 | map   2505 | icp ok  iter  4 corr  1407 rms 0.0852    9.38 ms | p=(    2.87    -1.34   0.23) v=6.49 m/s
[lio] t=1317400964.951 | feat 1559/5520 | map   2505 | icp ok  iter  3 corr  1367 rms 0.0655    7.17 ms | p=(    3.46    -1.63   0.28) v=6.46 m/s [KF]
[lio] t=1317400965.055 | feat 1446/5468 | map   2958 | icp ok  iter  4 corr  1319 rms 0.0745    8.10 ms | p=(    4.09    -1.95   0.33) v=6.74 m/s
[lio] t=1317400965.159 | feat 1431/5326 | map   2958 | icp ok  iter 12 corr  1293 rms 0.0527   27.37 ms | p=(    4.76    -2.27   0.38) v=7.03 m/s [KF]
[lio] t=1317400965.263 | feat 1550/5420 | map   3282 | icp ok  iter  4 corr  1397 rms 0.0533    9.04 ms | p=(    5.44    -2.61   0.44) v=7.27 m/s
[lio] t=1317400965.367 | feat 1564/5662 | map   3282 | icp ok  iter  4 corr  1391 rms 0.1020    8.38 ms | p=(    6.12    -2.95   0.49) v=7.34 m/s [KF]
