[INFO] [1789098666.165911749] [rosbag2_storage]: Opened database '/home/chanho/data/kitti/lidar/output_ros2.db3' for READ_ONLY.
[INFO] [1789098677.284164798] [paced_bag_player]: first odometry after 27 scans; 24 consumed by initialization
[INFO] [1789098679.132942458] [paced_bag_player]: scan 100 | bag t=   10.3s | odometry 74 | skipped 24 | wall     11s (9.1 scans/s)
[INFO] [1789098681.909318001] [paced_bag_player]: scan 200 | bag t=   20.7s | odometry 174 | skipped 24 | wall     14s (14.6 scans/s)
[INFO] [1789098685.013963655] [paced_bag_player]: scan 300 | bag t=   31.1s | odometry 274 | skipped 24 | wall     17s (17.8 scans/s)
[INFO] [1789098688.254540595] [paced_bag_player]: scan 400 | bag t=   41.5s | odometry 374 | skipped 24 | wall     20s (19.9 scans/s)
[INFO] [1789098691.047699983] [paced_bag_player]: scan 500 | bag t=   51.9s | odometry 474 | skipped 24 | wall     23s (21.9 scans/s)
[INFO] [1789098693.901902544] [paced_bag_player]: scan 600 | bag t=   62.2s | odometry 574 | skipped 24 | wall     26s (23.3 scans/s)
[INFO] [1789098697.423534458] [paced_bag_player]: scan 700 | bag t=   72.6s | odometry 674 | skipped 24 | wall     29s (23.9 scans/s)
[INFO] [1789098701.452120986] [paced_bag_player]: scan 800 | bag t=   83.0s | odometry 774 | skipped 24 | wall     33s (24.0 scans/s)
[INFO] [1789098704.300791185] [paced_bag_player]: scan 900 | bag t=   93.4s | odometry 874 | skipped 24 | wall     36s (24.9 scans/s)
[INFO] [1789098708.222407384] [paced_bag_player]: scan 1000 | bag t=  103.8s | odometry 974 | skipped 24 | wall     40s (25.0 scans/s)
[INFO] [1789098712.130492351] [paced_bag_player]: scan 1100 | bag t=  114.2s | odometry 1074 | skipped 24 | wall     44s (25.0 scans/s)
[INFO] [1789098717.770601310] [paced_bag_player]: scan 1200 | bag t=  124.6s | odometry 1174 | skipped 24 | wall     50s (24.2 scans/s)
[INFO] [1789098722.870242842] [paced_bag_player]: scan 1300 | bag t=  135.0s | odometry 1274 | skipped 24 | wall     55s (23.8 scans/s)
[INFO] [1789098727.786914386] [paced_bag_player]: scan 1400 | bag t=  145.3s | odometry 1374 | skipped 24 | wall     60s (23.5 scans/s)
[INFO] [1789098732.965227879] [paced_bag_player]: scan 1500 | bag t=  155.7s | odometry 1474 | skipped 24 | wall     65s (23.2 scans/s)
[INFO] [1789098737.634456855] [paced_bag_player]: scan 1600 | bag t=  166.1s | odometry 1574 | skipped 24 | wall     69s (23.0 scans/s)
[INFO] [1789098740.411484013] [paced_bag_player]: scan 1700 | bag t=  176.5s | odometry 1674 | skipped 24 | wall     72s (23.5 scans/s)
[INFO] [1789098742.893970799] [paced_bag_player]: scan 1800 | bag t=  186.9s | odometry 1774 | skipped 24 | wall     75s (24.1 scans/s)
[INFO] [1789098746.688642374] [paced_bag_player]: scan 1900 | bag t=  197.3s | odometry 1874 | skipped 24 | wall     79s (24.2 scans/s)
[INFO] [1789098749.344882498] [paced_bag_player]: scan 2000 | bag t=  207.7s | odometry 1974 | skipped 24 | wall     81s (24.6 scans/s)
