[INFO] [1789097181.828523683] [lidar_inertial_odometer]: lidar_inertial_odometer ready (fused point-to-point + point-to-plane ICP)
[INFO] [1789097181.828594735] [lidar_inertial_odometer]:   topics : lidar='/points_raw' imu='/imu_raw'
[INFO] [1789097181.828602478] [lidar_inertial_odometer]:   frames : odom -> imu_link -> velodyne
[INFO] [1789097181.828608457] [lidar_inertial_odometer]:   ring   : selection=all band=[31,63] -> 33/64 ch (dropped 0 above + 31 below)
[INFO] [1789097181.828615629] [lidar_inertial_odometer]:   normal : neighborhood_pca
[INFO] [1789097181.828621018] [lidar_inertial_odometer]:   icp    : alpha (point) 0.01, beta (plane) 1, huber 0.2 m
[INFO] [1789097187.349946800] [lidar_inertial_odometer]: static TF imu_link -> velodyne : t=[0.8105 -0.3071 0.8027]
[INFO] [1789097195.776676145] [lidar_inertial_odometer]: odometer initialized (t=1317400964.327)
[lio] initialized at t=1317400964.326695 | |a|=9.843 m/s^2
[lio] t=1317400964.327 | feat 1583/5727 | map      0 | icp REJ iter  0 corr     0 rms 0.0000    0.00 ms | p=(    0.00     0.00  -0.00) v=0.00 m/s [KF]
[lio] t=1317400964.431 | feat 1603/5844 | map   1316 | icp ok  iter  5 corr  1370 rms 0.0613   10.56 ms | p=(    0.55    -0.25   0.04) v=3.97 m/s
[lio] t=1317400964.535 | feat 1515/5829 | map   1316 | icp ok  iter  6 corr  1280 rms 0.0829   12.63 ms | p=(    1.10    -0.50   0.09) v=5.12 m/s [KF]
[lio] t=1317400964.639 | feat 1464/5782 | map   1978 | icp ok  iter  4 corr  1332 rms 0.0739    8.36 ms | p=(    1.68    -0.76   0.13) v=5.76 m/s
[lio] t=1317400964.743 | feat 1522/5715 | map   1978 | icp ok  iter  5 corr  1336 rms 0.1030   11.83 ms | p=(    2.25    -1.03   0.18) v=6.01 m/s [KF]
[lio] t=1317400964.847 | feat 1502/5569 | map   2502 | icp ok  iter  4 corr  1412 rms 0.0946    9.74 ms | p=(    2.87    -1.34   0.22) v=6.45 m/s
[lio] t=1317400964.951 | feat 1564/5519 | map   2502 | icp ok  iter  4 corr  1375 rms 0.0759    9.26 ms | p=(    3.46    -1.63   0.28) v=6.45 m/s [KF]
[lio] t=1317400965.055 | feat 1444/5467 | map   2963 | icp ok  iter  4 corr  1315 rms 0.0793    8.59 ms | p=(    4.10    -1.95   0.33) v=6.76 m/s
[lio] t=1317400965.159 | feat 1429/5328 | map   2963 | icp ok  iter  4 corr  1287 rms 0.0611    8.64 ms | p=(    4.76    -2.27   0.38) v=7.00 m/s [KF]
[lio] t=1317400965.263 | feat 1543/5419 | map   3286 | icp ok  iter  4 corr  1396 rms 0.0616    9.80 ms | p=(    5.44    -2.61   0.44) v=7.27 m/s
[lio] t=1317400965.367 | feat 1597/5664 | map   3286 | icp ok  iter  4 corr  1391 rms 0.1159    9.80 ms | p=(    6.13    -2.96   0.49) v=7.41 m/s [KF]
[lio] t=1317400965.470 | feat 1515/5980 | map   3678 | icp ok  iter  4 corr  1345 rms 0.0685    9.44 ms | p=(    6.81    -3.30   0.54) v=7.43 m/s
[lio] t=1317400965.574 | feat 1599/6309 | map   3678 | icp ok  iter  4 corr  1339 rms 0.0763    9.47 ms | p=(    7.51    -3.65   0.60) v=7.55 m/s [KF]
[lio] t=1317400965.678 | feat 1588/6429 | map   4112 | icp ok  iter  4 corr  1396 rms 0.0575    9.62 ms | p=(    8.23    -3.99   0.65) v=7.71 m/s
[lio] t=1317400965.782 | feat 1485/6465 | map   4112 | icp ok  iter  4 corr  1221 rms 0.0911    8.60 ms | p=(    8.95    -4.33   0.71) v=7.76 m/s [KF]
[lio] t=1317400965.885 | feat 1418/6471 | map   4470 | icp ok  iter  4 corr  1213 rms 0.1082    8.91 ms | p=(    9.71    -4.67   0.76) v=7.96 m/s
[lio] t=1317400965.989 | feat 1374/6533 | map   4470 | icp ok  iter  3 corr  1131 rms 0.0755    6.24 ms | p=(   10.48    -5.01   0.82) v=8.04 m/s [KF]
[lio] t=1317400966.093 | feat 1407/6604 | map   4826 | icp ok  iter  3 corr  1189 rms 0.0577    6.53 ms | p=(   11.23    -5.34   0.87) v=7.91 m/s
[lio] t=1317400966.197 | feat 1375/6524 | map   4826 | icp ok  iter  4 corr  1111 rms 0.0772    8.15 ms | p=(   12.01    -5.67   0.93) v=8.05 m/s [KF]
[lio] t=1317400966.301 | feat 1269/6342 | map   5078 | icp ok  iter  3 corr  1042 rms 0.1050    5.46 ms | p=(   12.78    -6.00   0.98) v=7.99 m/s
[lio] t=1317400966.405 | feat 1278/6194 | map   5078 | icp ok  iter  5 corr  1006 rms 0.1384    8.44 ms | p=(   13.56    -6.33   1.04) v=8.07 m/s [KF]
[lio] t=1317400966.509 | feat 1412/6107 | map   5375 | icp ok  iter  4 corr  1170 rms 0.1121    8.56 ms | p=(   14.33    -6.64   1.10) v=7.98 m/s
[lio] t=1317400966.613 | feat 1365/5854 | map   5375 | icp ok  iter  4 corr  1108 rms 0.0770    7.92 ms | p=(   15.08    -6.94   1.15) v=7.78 m/s [KF]
[lio] t=1317400966.716 | feat 1442/5620 | map   5627 | icp ok  iter  5 corr  1191 rms 0.0753   10.27 ms | p=(   15.85    -7.25   1.20) v=7.87 m/s
[lio] t=1317400966.820 | feat 1406/5420 | map   5627 | icp ok  iter  5 corr  1154 rms 0.0616   11.24 ms | p=(   16.61    -7.56   1.25) v=7.81 m/s [KF]
[lio] t=1317400966.924 | feat 1470/5349 | map   5836 | icp ok  iter  4 corr  1248 rms 0.0731    8.37 ms | p=(   17.37    -7.85   1.31) v=7.81 m/s
[lio] t=1317400967.028 | feat 1451/5324 | map   5836 | icp ok  iter  4 corr  1192 rms 0.0619    8.09 ms | p=(   18.12    -8.14   1.36) v=7.70 m/s [KF]
[lio] t=1317400967.132 | feat 1487/5311 | map   6050 | icp ok  iter  3 corr  1224 rms 0.0576    7.34 ms | p=(   18.88    -8.45   1.42) v=7.73 m/s
[lio] t=1317400967.236 | feat 1566/5282 | map   6050 | icp ok  iter  3 corr  1301 rms 0.0954    7.64 ms | p=(   19.64    -8.73   1.46) v=7.64 m/s [KF]
[lio] t=1317400967.340 | feat 1567/5307 | map   6326 | icp ok  iter  3 corr  1320 rms 0.0592    7.21 ms | p=(   20.37    -9.02   1.51) v=7.49 m/s
[lio] t=1317400967.444 | feat 1528/5374 | map   6326 | icp ok  iter  4 corr  1277 rms 0.0589    9.58 ms | p=(   21.11    -9.30   1.56) v=7.46 m/s [KF]
[lio] t=1317400967.548 | feat 1583/5335 | map   6539 | icp ok  iter  3 corr  1306 rms 0.0567    6.30 ms | p=(   21.81    -9.57   1.62) v=7.21 m/s
[lio] t=1317400967.652 | feat 1648/5389 | map   6539 | icp ok  iter  4 corr  1370 rms 0.0770    8.90 ms | p=(   22.53    -9.84   1.67) v=7.18 m/s [KF]
[lio] t=1317400967.756 | feat 1568/5383 | map   6794 | icp ok  iter  3 corr  1313 rms 0.0467    6.73 ms | p=(   23.21   -10.10   1.71) v=6.95 m/s
[lio] t=1317400967.860 | feat 1630/5525 | map   6794 | icp ok  iter  4 corr  1343 rms 0.0611    8.58 ms | p=(   23.89   -10.36   1.76) v=6.80 m/s [KF]
[lio] t=1317400967.964 | feat 1656/5534 | map   6978 | icp ok  iter  5 corr  1368 rms 0.0578   11.19 ms | p=(   24.56   -10.61   1.81) v=6.77 m/s
[lio] t=1317400968.068 | feat 1818/5684 | map   6978 | icp ok  iter  4 corr  1433 rms 0.0630   11.27 ms | p=(   25.20   -10.87   1.85) v=6.56 m/s [KF]
[lio] t=1317400968.172 | feat 1777/5641 | map   7295 | icp ok  iter  3 corr  1521 rms 0.0605    8.81 ms | p=(   25.84   -11.11   1.90) v=6.44 m/s
[lio] t=1317400968.276 | feat 1773/5683 | map   7295 | icp ok  iter  4 corr  1471 rms 0.0644   10.74 ms | p=(   26.47   -11.36   1.94) v=6.35 m/s [KF]
[lio] t=1317400968.380 | feat 1724/5607 | map   7550 | icp ok  iter  4 corr  1442 rms 0.0589    9.63 ms | p=(   27.10   -11.61   1.98) v=6.35 m/s
[lio] t=1317400968.484 | feat 1737/5480 | map   7550 | icp ok  iter  3 corr  1434 rms 0.1012    8.05 ms | p=(   27.69   -11.85   2.03) v=6.09 m/s [KF]
[lio] t=1317400968.588 | feat 1677/5545 | map   7799 | icp ok  iter  4 corr  1374 rms 0.0672    9.03 ms | p=(   28.26   -12.08   2.07) v=5.81 m/s
[lio] t=1317400968.693 | feat 1720/5478 | map   7799 | icp ok  iter  5 corr  1392 rms 0.0586   13.18 ms | p=(   28.85   -12.34   2.11) v=5.93 m/s [KF]
[lio] t=1317400968.797 | feat 1864/5656 | map   8027 | icp ok  iter  3 corr  1591 rms 0.0602    8.24 ms | p=(   29.41   -12.58   2.15) v=5.77 m/s
