[INFO] [1789097184.991247377] [rosbag2_storage]: Opened database '/home/chanho/data/kitti/lidar/output_ros2.db3' for READ_ONLY.
[INFO] [1789097196.109711520] [paced_bag_player]: first odometry after 27 scans; 24 consumed by initialization
[INFO] [1789097197.957740092] [paced_bag_player]: scan 100 | bag t=   10.3s | odometry 74 | skipped 24 | wall     11s (9.1 scans/s)
[INFO] [1789097200.741100305] [paced_bag_player]: scan 200 | bag t=   20.7s | odometry 174 | skipped 24 | wall     14s (14.6 scans/s)
[INFO] [1789097203.917696539] [paced_bag_player]: scan 300 | bag t=   31.1s | odometry 274 | skipped 24 | wall     17s (17.7 scans/s)
[INFO] [1789097207.222808266] [paced_bag_player]: scan 400 | bag t=   41.5s | odometry 374 | skipped 24 | wall     20s (19.8 scans/s)
[INFO] [1789097210.118851438] [paced_bag_player]: scan 500 | bag t=   51.9s | odometry 474 | skipped 24 | wall     23s (21.6 scans/s)
[INFO] [1789097213.033507564] [paced_bag_player]: scan 600 | bag t=   62.2s | odometry 574 | skipped 24 | wall     26s (23.1 scans/s)
[INFO] [1789097217.160443971] [paced_bag_player]: scan 700 | bag t=   72.6s | odometry 674 | skipped 24 | wall     30s (23.2 scans/s)
[INFO] [1789097221.437089675] [paced_bag_player]: scan 800 | bag t=   83.0s | odometry 774 | skipped 24 | wall     34s (23.2 scans/s)
[INFO] [1789097224.403382056] [paced_bag_player]: scan 900 | bag t=   93.4s | odometry 874 | skipped 24 | wall     37s (24.1 scans/s)
[INFO] [1789097228.628923020] [paced_bag_player]: scan 1000 | bag t=  103.8s | odometry 974 | skipped 24 | wall     42s (24.0 scans/s)
[INFO] [1789097232.937604963] [paced_bag_player]: scan 1100 | bag t=  114.2s | odometry 1074 | skipped 24 | wall     46s (24.0 scans/s)
[INFO] [1789097239.434264778] [paced_bag_player]: scan 1200 | bag t=  124.6s | odometry 1174 | skipped 24 | wall     52s (22.9 scans/s)
[INFO] [1789097245.233588489] [paced_bag_player]: scan 1300 | bag t=  135.0s | odometry 1274 | skipped 24 | wall     58s (22.3 scans/s)
[INFO] [1789097250.845934755] [paced_bag_player]: scan 1400 | bag t=  145.3s | odometry 1374 | skipped 24 | wall     64s (21.9 scans/s)
[INFO] [1789097256.698617244] [paced_bag_player]: scan 1500 | bag t=  155.7s | odometry 1474 | skipped 24 | wall     70s (21.5 scans/s)
[INFO] [1789097261.995169924] [paced_bag_player]: scan 1600 | bag t=  166.1s | odometry 1574 | skipped 24 | wall     75s (21.3 scans/s)
[INFO] [1789097264.954567549] [paced_bag_player]: scan 1700 | bag t=  176.5s | odometry 1674 | skipped 24 | wall     78s (21.8 scans/s)
[INFO] [1789097267.656440221] [paced_bag_player]: scan 1800 | bag t=  186.9s | odometry 1774 | skipped 24 | wall     81s (22.3 scans/s)
[INFO] [1789097271.748385507] [paced_bag_player]: scan 1900 | bag t=  197.3s | odometry 1874 | skipped 24 | wall     85s (22.4 scans/s)
[INFO] [1789097274.599504734] [paced_bag_player]: scan 2000 | bag t=  207.7s | odometry 1974 | skipped 24 | wall     88s (22.8 scans/s)
[INFO] [1789097277.487877134] [paced_bag_player]: scan 2100 | bag t=  218.1s | odometry 2074 | skipped 24 | wall     90s (23.2 scans/s)
[INFO] [1789097282.643560958] [paced_bag_player]: scan 2200 | bag t=  228.5s | odometry 2174 | skipped 24 | wall     96s (23.0 scans/s)
[INFO] [1789097285.600898467] [paced_bag_player]: scan 2300 | bag t=  238.8s | odometry 2274 | skipped 24 | wall     99s (23.3 scans/s)
[INFO] [1789097288.048249075] [paced_bag_player]: scan 2400 | bag t=  249.2s | odometry 2374 | skipped 24 | wall    101s (23.8 scans/s)
[INFO] [1789097291.728063345] [paced_bag_player]: scan 2500 | bag t=  259.6s | odometry 2474 | skipped 24 | wall    105s (23.9 scans/s)
[INFO] [1789097295.393902321] [paced_bag_player]: scan 2600 | bag t=  270.0s | odometry 2574 | skipped 24 | wall    108s (24.0 scans/s)
[INFO] [1789097299.299255062] [paced_bag_player]: scan 2700 | bag t=  280.4s | odometry 2674 | skipped 24 | wall    112s (24.0 scans/s)
[INFO] [1789097305.280162731] [paced_bag_player]: scan 2800 | bag t=  290.8s | odometry 2774 | skipped 24 | wall    118s (23.7 scans/s)
[INFO] [1789097311.050995449] [paced_bag_player]: scan 2900 | bag t=  301.2s | odometry 2874 | skipped 24 | wall    124s (23.4 scans/s)
[INFO] [1789097317.450566302] [paced_bag_player]: scan 3000 | bag t=  311.6s | odometry 2974 | skipped 24 | wall    130s (23.0 scans/s)
[INFO] [1789097321.360921577] [paced_bag_player]: scan 3100 | bag t=  322.0s | odometry 3074 | skipped 24 | wall    134s (23.1 scans/s)
[INFO] [1789097323.701176201] [paced_bag_player]: scan 3200 | bag t=  332.4s | odometry 3174 | skipped 24 | wall    137s (23.4 scans/s)
[INFO] [1789097326.121885212] [paced_bag_player]: scan 3300 | bag t=  342.8s | odometry 3274 | skipped 24 | wall    139s (23.7 scans/s)
[INFO] [1789097328.402093452] [paced_bag_player]: scan 3400 | bag t=  353.2s | odometry 3374 | skipped 24 | wall    141s (24.0 scans/s)
[INFO] [1789097330.763662424] [paced_bag_player]: scan 3500 | bag t=  363.6s | odometry 3474 | skipped 24 | wall    144s (24.3 scans/s)
[INFO] [1789097333.481776025] [paced_bag_player]: scan 3600 | bag t=  374.0s | odometry 3574 | skipped 24 | wall    146s (24.6 scans/s)
[INFO] [1789097336.943701026] [paced_bag_player]: scan 3700 | bag t=  384.4s | odometry 3674 | skipped 24 | wall    150s (24.7 scans/s)
[INFO] [1789097340.070321924] [paced_bag_player]: scan 3800 | bag t=  394.8s | odometry 3774 | skipped 24 | wall    153s (24.8 scans/s)
[INFO] [1789097343.636162547] [paced_bag_player]: scan 3900 | bag t=  405.1s | odometry 3874 | skipped 24 | wall    157s (24.9 scans/s)
[INFO] [1789097348.538137045] [paced_bag_player]: scan 4000 | bag t=  415.5s | odometry 3974 | skipped 24 | wall    162s (24.8 scans/s)
[INFO] [1789097353.556535442] [paced_bag_player]: scan 4100 | bag t=  425.9s | odometry 4074 | skipped 24 | wall    167s (24.6 scans/s)
[INFO] [1789097358.187371826] [paced_bag_player]: scan 4200 | bag t=  436.3s | odometry 4174 | skipped 24 | wall    171s (24.5 scans/s)
[INFO] [1789097360.905442561] [paced_bag_player]: scan 4300 | bag t=  446.7s | odometry 4274 | skipped 24 | wall    174s (24.7 scans/s)
[INFO] [1789097363.584358494] [paced_bag_player]: scan 4400 | bag t=  457.1s | odometry 4374 | skipped 24 | wall    177s (24.9 scans/s)
[INFO] [1789097366.884935516] [paced_bag_player]: scan 4500 | bag t=  467.5s | odometry 4474 | skipped 24 | wall    180s (25.0 scans/s)
[INFO] [1789097370.522475637] [paced_bag_player]: scan 4600 | bag t=  477.9s | odometry 4574 | skipped 24 | wall    184s (25.1 scans/s)
[INFO] [1789097373.066670778] [paced_bag_player]: scan 4700 | bag t=  488.3s | odometry 4674 | skipped 24 | wall    186s (25.3 scans/s)
[INFO] [1789097375.491475555] [paced_bag_player]: scan 4800 | bag t=  498.7s | odometry 4774 | skipped 24 | wall    188s (25.5 scans/s)
[INFO] [1789097378.880505222] [paced_bag_player]: scan 4900 | bag t=  509.1s | odometry 4874 | skipped 24 | wall    192s (25.5 scans/s)
[INFO] [1789097382.131945136] [paced_bag_player]: scan 5000 | bag t=  519.4s | odometry 4974 | skipped 24 | wall    195s (25.6 scans/s)
[INFO] [1789097385.156656654] [paced_bag_player]: scan 5100 | bag t=  529.8s | odometry 5074 | skipped 24 | wall    198s (25.7 scans/s)
[INFO] [1789097388.880228133] [paced_bag_player]: bag done: published {'/imu_raw': 53663, '/gps/fix': 5177, '/points_raw': 5177}; waiting for the odometer to settle
[INFO] [1789097394.004305671] [paced_bag_player]: finished: 5177 scans published, 5153 odometry received, 24 assumed skipped, wall 207s
