[INFO] [1789104081.553537444] [lidar_inertial_odometer]: lidar_inertial_odometer ready (point-to-plane ICP)
[INFO] [1789104081.553613840] [lidar_inertial_odometer]:   topics : lidar='/points_raw' imu='/imu_raw'
[INFO] [1789104081.553622125] [lidar_inertial_odometer]:   frames : odom -> imu_link -> velodyne
[INFO] [1789104081.553628363] [lidar_inertial_odometer]:   ring   : selection=all band=[31,63] -> 33/64 ch (dropped 0 above + 31 below)
[INFO] [1789104081.553635722] [lidar_inertial_odometer]:   normal : neighborhood_pca
[INFO] [1789104087.081139235] [lidar_inertial_odometer]: static TF imu_link -> velodyne : t=[0.8105 -0.3071 0.8027]
[INFO] [1789104095.514447028] [lidar_inertial_odometer]: odometer initialized (t=1317400964.327)
[lio] initialized at t=1317400964.326695 | |a|=9.843 m/s^2
[lio] t=1317400964.327 | feat 1583/5727 | map      0 | icp REJ iter  0 corr     0 rms 0.0000    0.00 ms | p=(    0.00     0.00  -0.00) v=0.00 m/s [KF]
[lio] t=1317400964.431 | feat 1603/5844 | map   1316 | icp ok  iter  4 corr  1368 rms 0.0426    7.10 ms | p=(    0.56    -0.25   0.04) v=4.02 m/s
[lio] t=1317400964.535 | feat 1514/5833 | map   1316 | icp ok  iter  4 corr  1277 rms 0.0716    7.18 ms | p=(    1.10    -0.50   0.09) v=5.09 m/s [KF]
[lio] t=1317400964.639 | feat 1458/5784 | map   1977 | icp ok  iter  3 corr  1307 rms 0.0706    6.10 ms | p=(    1.68    -0.76   0.13) v=5.75 m/s
[lio] t=1317400964.743 | feat 1523/5717 | map   1977 | icp ok  iter  3 corr  1330 rms 0.0907    5.92 ms | p=(    2.24    -1.03   0.18) v=5.94 m/s [KF]
[lio] t=1317400964.847 | feat 1505/5569 | map   2505 | icp ok  iter  4 corr  1407 rms 0.0852    7.89 ms | p=(    2.87    -1.34   0.23) v=6.49 m/s
[lio] t=1317400964.951 | feat 1559/5520 | map   2505 | icp ok  iter  3 corr  1367 rms 0.0655    5.93 ms | p=(    3.46    -1.63   0.28) v=6.46 m/s [KF]
[lio] t=1317400965.055 | feat 1446/5468 | map   2958 | icp ok  iter  4 corr  1319 rms 0.0745    6.56 ms | p=(    4.09    -1.95   0.33) v=6.74 m/s
[lio] t=1317400965.159 | feat 1431/5326 | map   2958 | icp ok  iter 12 corr  1293 rms 0.0527   21.58 ms | p=(    4.76    -2.27   0.38) v=7.03 m/s [KF]
[lio] t=1317400965.263 | feat 1550/5420 | map   3282 | icp ok  iter  4 corr  1397 rms 0.0533    7.36 ms | p=(    5.44    -2.61   0.44) v=7.27 m/s
[lio] t=1317400965.367 | feat 1564/5662 | map   3282 | icp ok  iter  4 corr  1391 rms 0.1020    6.85 ms | p=(    6.12    -2.95   0.49) v=7.34 m/s [KF]
[lio] t=1317400965.470 | feat 1554/5982 | map   3646 | icp ok  iter  5 corr  1334 rms 0.0743    8.70 ms | p=(    6.80    -3.30   0.54) v=7.46 m/s
[lio] t=1317400965.574 | feat 1593/6308 | map   3646 | icp ok  iter 12 corr  1294 rms 0.0740   20.39 ms | p=(    7.50    -3.65   0.60) v=7.55 m/s [KF]
[lio] t=1317400965.678 | feat 1584/6428 | map   4081 | icp ok  iter  4 corr  1392 rms 0.0481    7.26 ms | p=(    8.23    -3.99   0.65) v=7.74 m/s
[lio] t=1317400965.782 | feat 1482/6465 | map   4081 | icp ok  iter  3 corr  1214 rms 0.0847    4.79 ms | p=(    8.95    -4.33   0.71) v=7.75 m/s [KF]
[lio] t=1317400965.885 | feat 1422/6470 | map   4445 | icp ok  iter  3 corr  1216 rms 0.1038    6.21 ms | p=(    9.71    -4.66   0.76) v=7.97 m/s
[lio] t=1317400965.989 | feat 1384/6535 | map   4445 | icp ok  iter  3 corr  1137 rms 0.0654    5.31 ms | p=(   10.47    -5.01   0.82) v=8.03 m/s [KF]
[lio] t=1317400966.093 | feat 1414/6606 | map   4802 | icp ok  iter  4 corr  1197 rms 0.0483    6.85 ms | p=(   11.22    -5.33   0.87) v=7.91 m/s
[lio] t=1317400966.197 | feat 1370/6523 | map   4802 | icp ok  iter  5 corr  1107 rms 0.0544    8.03 ms | p=(   12.00    -5.67   0.93) v=8.05 m/s [KF]
[lio] t=1317400966.301 | feat 1271/6341 | map   5052 | icp ok  iter  4 corr  1041 rms 0.0872    6.20 ms | p=(   12.78    -6.00   0.98) v=8.03 m/s
[lio] t=1317400966.405 | feat 1285/6195 | map   5052 | icp ok  iter  4 corr  1012 rms 0.1345    5.99 ms | p=(   13.56    -6.33   1.04) v=8.04 m/s [KF]
[lio] t=1317400966.509 | feat 1406/6107 | map   5346 | icp ok  iter  4 corr  1162 rms 0.1100    6.90 ms | p=(   14.33    -6.64   1.10) v=7.98 m/s
[lio] t=1317400966.613 | feat 1364/5855 | map   5346 | icp ok  iter  4 corr  1107 rms 0.0710    7.52 ms | p=(   15.07    -6.94   1.15) v=7.77 m/s [KF]
[lio] t=1317400966.716 | feat 1439/5620 | map   5600 | icp ok  iter  3 corr  1190 rms 0.0692    5.48 ms | p=(   15.85    -7.24   1.20) v=7.85 m/s
[lio] t=1317400966.820 | feat 1412/5420 | map   5600 | icp ok  iter  4 corr  1156 rms 0.0512    7.05 ms | p=(   16.60    -7.55   1.25) v=7.82 m/s [KF]
