[INFO] [1789104084.721931003] [rosbag2_storage]: Opened database '/home/chanho/data/kitti/lidar/output_ros2.db3' for READ_ONLY.
[INFO] [1789104095.844633189] [paced_bag_player]: first odometry after 27 scans; 24 consumed by initialization
[INFO] [1789104097.745493051] [paced_bag_player]: scan 100 | bag t=   10.3s | odometry 74 | skipped 24 | wall     11s (9.1 scans/s)
[INFO] [1789104100.535333279] [paced_bag_player]: scan 200 | bag t=   20.7s | odometry 174 | skipped 24 | wall     14s (14.5 scans/s)
[INFO] [1789104103.827031415] [paced_bag_player]: scan 300 | bag t=   31.1s | odometry 274 | skipped 24 | wall     17s (17.6 scans/s)
[INFO] [1789104107.128871936] [paced_bag_player]: scan 400 | bag t=   41.5s | odometry 374 | skipped 24 | wall     20s (19.6 scans/s)
[INFO] [1789104109.946926362] [paced_bag_player]: scan 500 | bag t=   51.9s | odometry 474 | skipped 24 | wall     23s (21.5 scans/s)
[INFO] [1789104112.919322814] [paced_bag_player]: scan 600 | bag t=   62.2s | odometry 574 | skipped 24 | wall     26s (22.9 scans/s)
[INFO] [1789104116.644958090] [paced_bag_player]: scan 700 | bag t=   72.6s | odometry 674 | skipped 24 | wall     30s (23.4 scans/s)
[INFO] [1789104120.678963746] [paced_bag_player]: scan 800 | bag t=   83.0s | odometry 774 | skipped 24 | wall     34s (23.6 scans/s)
[INFO] [1789104123.529724261] [paced_bag_player]: scan 900 | bag t=   93.4s | odometry 874 | skipped 24 | wall     37s (24.5 scans/s)
[INFO] [1789104127.292873590] [paced_bag_player]: scan 1000 | bag t=  103.8s | odometry 974 | skipped 24 | wall     41s (24.7 scans/s)
[INFO] [1789104131.065287813] [paced_bag_player]: scan 1100 | bag t=  114.2s | odometry 1074 | skipped 24 | wall     44s (24.8 scans/s)
[INFO] [1789104136.549805156] [paced_bag_player]: scan 1200 | bag t=  124.6s | odometry 1174 | skipped 24 | wall     50s (24.1 scans/s)
[INFO] [1789104141.766771937] [paced_bag_player]: scan 1300 | bag t=  135.0s | odometry 1274 | skipped 24 | wall     55s (23.6 scans/s)
[INFO] [1789104146.874118161] [paced_bag_player]: scan 1400 | bag t=  145.3s | odometry 1374 | skipped 24 | wall     60s (23.3 scans/s)
[INFO] [1789104152.009456231] [paced_bag_player]: scan 1500 | bag t=  155.7s | odometry 1474 | skipped 24 | wall     65s (23.0 scans/s)
[INFO] [1789104156.683259048] [paced_bag_player]: scan 1600 | bag t=  166.1s | odometry 1574 | skipped 24 | wall     70s (22.9 scans/s)
[INFO] [1789104159.477610171] [paced_bag_player]: scan 1700 | bag t=  176.5s | odometry 1674 | skipped 24 | wall     73s (23.4 scans/s)
[INFO] [1789104161.967827224] [paced_bag_player]: scan 1800 | bag t=  186.9s | odometry 1774 | skipped 24 | wall     75s (23.9 scans/s)
[INFO] [1789104165.741965638] [paced_bag_player]: scan 1900 | bag t=  197.3s | odometry 1874 | skipped 24 | wall     79s (24.1 scans/s)
[INFO] [1789104168.481936717] [paced_bag_player]: scan 2000 | bag t=  207.7s | odometry 1974 | skipped 24 | wall     82s (24.5 scans/s)
[INFO] [1789104171.185325875] [paced_bag_player]: scan 2100 | bag t=  218.1s | odometry 2074 | skipped 24 | wall     84s (24.9 scans/s)
[INFO] [1789104175.768435610] [paced_bag_player]: scan 2200 | bag t=  228.5s | odometry 2174 | skipped 24 | wall     89s (24.7 scans/s)
[INFO] [1789104178.595305789] [paced_bag_player]: scan 2300 | bag t=  238.8s | odometry 2274 | skipped 24 | wall     92s (25.0 scans/s)
[INFO] [1789104181.053253742] [paced_bag_player]: scan 2400 | bag t=  249.2s | odometry 2374 | skipped 24 | wall     94s (25.4 scans/s)
[INFO] [1789104184.697510256] [paced_bag_player]: scan 2500 | bag t=  259.6s | odometry 2474 | skipped 24 | wall     98s (25.5 scans/s)
[INFO] [1789104188.262357262] [paced_bag_player]: scan 2600 | bag t=  270.0s | odometry 2574 | skipped 24 | wall    102s (25.6 scans/s)
[INFO] [1789104191.821319801] [paced_bag_player]: scan 2700 | bag t=  280.4s | odometry 2674 | skipped 24 | wall    105s (25.7 scans/s)
[INFO] [1789104196.813122667] [paced_bag_player]: scan 2800 | bag t=  290.8s | odometry 2774 | skipped 24 | wall    110s (25.4 scans/s)
[INFO] [1789104201.952580422] [paced_bag_player]: scan 2900 | bag t=  301.2s | odometry 2874 | skipped 24 | wall    115s (25.2 scans/s)
[INFO] [1789104207.642917458] [paced_bag_player]: scan 3000 | bag t=  311.6s | odometry 2974 | skipped 24 | wall    121s (24.8 scans/s)
[INFO] [1789104211.474124760] [paced_bag_player]: scan 3100 | bag t=  322.0s | odometry 3074 | skipped 24 | wall    125s (24.9 scans/s)
[INFO] [1789104213.908811638] [paced_bag_player]: scan 3200 | bag t=  332.4s | odometry 3174 | skipped 24 | wall    127s (25.2 scans/s)
