[INFO] [1789097395.493044301] [lidar_inertial_odometer]: lidar_inertial_odometer ready (point-to-plane ICP)
[INFO] [1789097395.493128136] [lidar_inertial_odometer]:   topics : lidar='/points_raw' imu='/imu_raw'
[INFO] [1789097395.493136239] [lidar_inertial_odometer]:   frames : odom -> imu_link -> velodyne
[INFO] [1789097395.493142202] [lidar_inertial_odometer]:   ring   : selection=all band=[30,63] -> 34/64 ch (dropped 0 above + 30 below)
[INFO] [1789097395.493149136] [lidar_inertial_odometer]:   normal : loam_curvature
[INFO] [1789097401.019136827] [lidar_inertial_odometer]: static TF imu_link -> velodyne : t=[0.8105 -0.3071 0.8027]
[INFO] [1789097406.091298661] [lidar_inertial_odometer]: odometer initialized (t=1317400963.391)
[lio] initialized at t=1317400963.390639 | |a|=9.844 m/s^2
[lio] t=1317400963.391 | feat 1914/8160 | map      0 | icp REJ iter  0 corr     0 rms 0.0000    0.00 ms | p=(    0.00    -0.00  -0.00) v=0.00 m/s [KF]
[lio] t=1317400963.495 | feat 2071/8160 | map    373 | icp ok  iter  3 corr  1941 rms 0.0354    7.23 ms | p=(    0.51    -0.22   0.03) v=3.62 m/s
[lio] t=1317400963.599 | feat 2381/8160 | map    373 | icp ok  iter  4 corr  2223 rms 0.0928   12.28 ms | p=(    0.92    -0.38   0.04) v=4.02 m/s
[lio] t=1317400963.703 | feat 2366/8160 | map    373 | icp ok  iter  4 corr  1981 rms 0.1458    9.34 ms | p=(    1.44    -0.63   0.08) v=4.94 m/s [KF]
[lio] t=1317400963.807 | feat 2473/8160 | map    626 | icp ok  iter  4 corr  2401 rms 0.0624   11.83 ms | p=(    1.94    -0.86   0.11) v=5.14 m/s
[lio] t=1317400963.911 | feat 2616/8160 | map    626 | icp ok  iter  5 corr  2478 rms 0.0582   16.47 ms | p=(    2.46    -1.09   0.15) v=5.42 m/s [KF]
[lio] t=1317400964.015 | feat 2822/8160 | map    798 | icp ok  iter  4 corr  2768 rms 0.0837   12.90 ms | p=(    2.97    -1.35   0.17) v=5.46 m/s
[lio] t=1317400964.119 | feat 3026/8160 | map    798 | icp ok  iter  6 corr  2936 rms 0.0705   22.22 ms | p=(    3.54    -1.59   0.21) v=5.79 m/s [KF]
[lio] t=1317400964.223 | feat 2621/8160 | map    928 | icp ok  iter  3 corr  2517 rms 0.0406    8.90 ms | p=(    4.09    -1.86   0.24) v=5.85 m/s
[lio] t=1317400964.327 | feat 2910/8160 | map    928 | icp ok  iter  4 corr  2727 rms 0.0616   13.93 ms | p=(    4.62    -2.12   0.28) v=5.80 m/s [KF]
[lio] t=1317400964.431 | feat 3415/8160 | map   1032 | icp ok  iter  3 corr  3345 rms 0.0412   11.89 ms | p=(    5.16    -2.41   0.31) v=5.91 m/s
[lio] t=1317400964.535 | feat 3451/8160 | map   1032 | icp ok  iter  5 corr  3299 rms 0.0326   19.30 ms | p=(    5.76    -2.71   0.35) v=6.27 m/s [KF]
[lio] t=1317400964.639 | feat 3469/8160 | map   1137 | icp ok  iter  3 corr  3302 rms 0.0301   13.53 ms | p=(    6.35    -3.02   0.39) v=6.39 m/s
[lio] t=1317400964.743 | feat 3315/8160 | map   1137 | icp ok  iter  4 corr  3105 rms 0.0441   17.49 ms | p=(    6.93    -3.33   0.42) v=6.40 m/s [KF]
[lio] t=1317400964.847 | feat 3443/8160 | map   1235 | icp ok  iter  5 corr  3285 rms 0.0287   20.53 ms | p=(    7.51    -3.64   0.45) v=6.47 m/s
[lio] t=1317400964.951 | feat 3545/8160 | map   1235 | icp ok  iter  3 corr  3317 rms 0.0445   12.59 ms | p=(    8.12    -3.98   0.50) v=6.66 m/s [KF]
[lio] t=1317400965.055 | feat 3721/8160 | map   1327 | icp ok  iter  5 corr  3644 rms 0.0273   22.78 ms | p=(    8.75    -4.32   0.53) v=6.86 m/s
[lio] t=1317400965.159 | feat 3683/8160 | map   1327 | icp ok  iter  4 corr  3602 rms 0.0278   16.61 ms | p=(    9.38    -4.67   0.58) v=7.00 m/s [KF]
[lio] t=1317400965.263 | feat 3502/8160 | map   1392 | icp ok  iter  3 corr  3354 rms 0.0305   13.69 ms | p=(   10.02    -5.03   0.62) v=7.11 m/s
[lio] t=1317400965.367 | feat 3436/8160 | map   1392 | icp ok  iter  3 corr  3201 rms 0.0462   13.99 ms | p=(   10.68    -5.40   0.65) v=7.29 m/s [KF]
[lio] t=1317400965.470 | feat 3664/8160 | map   1489 | icp ok  iter  4 corr  3505 rms 0.0350   16.04 ms | p=(   11.36    -5.78   0.68) v=7.48 m/s
[lio] t=1317400965.574 | feat 3755/8160 | map   1489 | icp ok  iter  4 corr  3523 rms 0.0355   20.28 ms | p=(   12.04    -6.15   0.73) v=7.54 m/s [KF]
[lio] t=1317400965.678 | feat 3912/8160 | map   1592 | icp ok  iter  3 corr  3702 rms 0.0320   15.51 ms | p=(   12.75    -6.53   0.76) v=7.75 m/s
[lio] t=1317400965.782 | feat 3495/8160 | map   1592 | icp ok  iter  3 corr  3080 rms 0.0360   12.26 ms | p=(   13.47    -6.90   0.80) v=7.84 m/s [KF]
[lio] t=1317400965.885 | feat 3612/8160 | map   1709 | icp ok  iter  3 corr  3425 rms 0.0395   14.04 ms | p=(   14.21    -7.27   0.84) v=7.96 m/s
[lio] t=1317400965.989 | feat 3646/8160 | map   1709 | icp ok  iter  3 corr  3370 rms 0.0438   12.54 ms | p=(   14.94    -7.65   0.89) v=7.97 m/s [KF]
[lio] t=1317400966.093 | feat 3373/8160 | map   1819 | icp ok  iter  4 corr  3100 rms 0.0470   16.64 ms | p=(   15.71    -8.02   0.92) v=8.10 m/s
[lio] t=1317400966.197 | feat 3314/8160 | map   1819 | icp ok  iter  3 corr  2991 rms 0.0420   12.70 ms | p=(   16.45    -8.37   0.96) v=7.95 m/s [KF]
[lio] t=1317400966.301 | feat 3466/8160 | map   1897 | icp ok  iter  3 corr  3241 rms 0.0404   10.37 ms | p=(   17.21    -8.74   1.00) v=8.03 m/s
[lio] t=1317400966.405 | feat 3710/8160 | map   1897 | icp ok  iter  3 corr  3352 rms 0.0547   14.02 ms | p=(   17.97    -9.10   1.04) v=8.02 m/s [KF]
[lio] t=1317400966.509 | feat 3739/8160 | map   1981 | icp ok  iter  3 corr  3371 rms 0.0408   13.62 ms | p=(   18.73    -9.44   1.09) v=7.97 m/s
[lio] t=1317400966.613 | feat 3915/8160 | map   1981 | icp ok  iter  4 corr  3538 rms 0.0405   19.03 ms | p=(   19.46    -9.78   1.12) v=7.80 m/s [KF]
[lio] t=1317400966.716 | feat 3705/8160 | map   2042 | icp ok  iter  4 corr  3351 rms 0.0370   17.32 ms | p=(   20.22   -10.12   1.16) v=7.92 m/s
[lio] t=1317400966.820 | feat 3944/8160 | map   2042 | icp ok  iter  4 corr  3522 rms 0.0372   17.15 ms | p=(   20.97   -10.46   1.20) v=7.86 m/s [KF]
[lio] t=1317400966.924 | feat 4301/8160 | map   2092 | icp ok  iter  3 corr  3853 rms 0.0355   15.07 ms | p=(   21.72   -10.79   1.24) v=7.84 m/s
[lio] t=1317400967.028 | feat 4561/8160 | map   2092 | icp ok  iter  4 corr  4019 rms 0.0426   20.14 ms | p=(   22.44   -11.12   1.26) v=7.64 m/s [KF]
[lio] t=1317400967.132 | feat 4103/8160 | map   2161 | icp ok  iter  4 corr  3654 rms 0.0362   17.14 ms | p=(   23.18   -11.43   1.31) v=7.58 m/s
[lio] t=1317400967.236 | feat 4166/8160 | map   2161 | icp ok  iter  4 corr  3757 rms 0.0434   18.64 ms | p=(   23.88   -11.74   1.34) v=7.39 m/s [KF]
[lio] t=1317400967.340 | feat 4062/8160 | map   2227 | icp ok  iter  3 corr  3620 rms 0.0356   13.33 ms | p=(   24.65   -12.08   1.38) v=7.72 m/s
[lio] t=1317400967.444 | feat 3485/8160 | map   2227 | icp ok  iter  5 corr  3036 rms 0.0385   18.10 ms | p=(   25.33   -12.38   1.42) v=7.27 m/s [KF]
[lio] t=1317400967.548 | feat 3806/8160 | map   2298 | icp ok  iter  4 corr  3351 rms 0.0478   16.56 ms | p=(   26.06   -12.70   1.46) v=7.42 m/s
[lio] t=1317400967.652 | feat 3706/8160 | map   2298 | icp ok  iter  4 corr  3129 rms 0.0400   15.40 ms | p=(   26.75   -13.00   1.50) v=7.16 m/s [KF]
[lio] t=1317400967.756 | feat 4099/8160 | map   2356 | icp ok  iter  4 corr  3633 rms 0.1200   21.02 ms | p=(   27.45   -13.30   1.51) v=7.12 m/s
[lio] t=1317400967.860 | feat 3839/8160 | map   2356 | icp ok  iter  6 corr  3401 rms 0.1221   28.61 ms | p=(   28.08   -13.58   1.55) v=6.72 m/s [KF]
[lio] t=1317400967.964 | feat 3967/8160 | map   2422 | icp ok  iter  3 corr  3556 rms 0.0339   14.16 ms | p=(   28.75   -13.87   1.59) v=6.76 m/s
[lio] t=1317400968.068 | feat 3995/8160 | map   2422 | icp ok  iter  3 corr  3448 rms 0.0420   12.34 ms | p=(   29.39   -14.15   1.63) v=6.64 m/s [KF]
[lio] t=1317400968.172 | feat 3974/8160 | map   2494 | icp ok  iter  4 corr  3493 rms 0.0339   20.23 ms | p=(   29.97   -14.40   1.65) v=6.19 m/s
[lio] t=1317400968.276 | feat 3803/8160 | map   2494 | icp ok  iter  4 corr  3166 rms 0.0366   17.39 ms | p=(   30.65   -14.71   1.68) v=6.70 m/s [KF]
[lio] t=1317400968.380 | feat 3820/8160 | map   2581 | icp ok  iter  5 corr  3343 rms 0.0325   20.16 ms | p=(   31.22   -14.97   1.72) v=6.15 m/s
[lio] t=1317400968.484 | feat 3877/8160 | map   2581 | icp ok  iter  4 corr  3360 rms 0.0399   16.26 ms | p=(   31.85   -15.26   1.75) v=6.33 m/s [KF]
[lio] t=1317400968.588 | feat 3959/8160 | map   2649 | icp ok  iter  5 corr  3448 rms 0.0338   19.24 ms | p=(   32.40   -15.51   1.78) v=5.89 m/s
[lio] t=1317400968.693 | feat 3814/8160 | map   2649 | icp ok  iter  4 corr  3159 rms 0.0317   16.09 ms | p=(   32.96   -15.78   1.81) v=5.81 m/s [KF]
[lio] t=1317400968.797 | feat 3390/8160 | map   2666 | icp ok  iter  3 corr  2979 rms 0.0391   10.72 ms | p=(   33.51   -16.04   1.84) v=5.73 m/s
[lio] t=1317400968.901 | feat 3057/8160 | map   2666 | icp ok  iter  5 corr  2591 rms 0.0341   16.30 ms | p=(   34.04   -16.31   1.86) v=5.63 m/s [KF]
[lio] t=1317400969.005 | feat 2805/8160 | map   2680 | icp ok  iter  3 corr  2454 rms 0.0312    8.60 ms | p=(   34.56   -16.58   1.89) v=5.50 m/s
[lio] t=1317400969.109 | feat 2830/8160 | map   2680 | icp ok  iter  3 corr  2514 rms 0.0383    9.88 ms | p=(   35.08   -16.85   1.91) v=5.48 m/s [KF]
[lio] t=1317400969.213 | feat 2886/8160 | map   2697 | icp ok  iter  4 corr  2522 rms 0.0431   11.85 ms | p=(   35.57   -17.12   1.94) v=5.32 m/s
[lio] t=1317400969.317 | feat 2701/8160 | map   2697 | icp ok  iter  3 corr  2251 rms 0.0379    8.38 ms | p=(   36.06   -17.40   1.96) v=5.27 m/s [KF]
[lio] t=1317400969.421 | feat 2841/8160 | map   2719 | icp ok  iter  3 corr  2508 rms 0.0361    9.33 ms | p=(   36.52   -17.67   1.99) v=5.13 m/s
[lio] t=1317400969.526 | feat 2762/8160 | map   2719 | icp ok  iter  3 corr  2380 rms 0.0377    7.89 ms | p=(   36.98   -17.95   2.01) v=5.06 m/s [KF]
[lio] t=1317400969.630 | feat 2867/8160 | map   2744 | icp ok  iter  3 corr  2522 rms 0.0350    9.17 ms | p=(   37.42   -18.22   2.03) v=4.88 m/s
[lio] t=1317400969.734 | feat 3128/8160 | map   2744 | icp ok  iter  4 corr  2707 rms 0.0382   12.37 ms | p=(   37.85   -18.52   2.06) v=4.86 m/s [KF]
[lio] t=1317400969.838 | feat 3026/8160 | map   2786 | icp ok  iter  3 corr  2655 rms 0.0368    9.96 ms | p=(   38.25   -18.80   2.08) v=4.67 m/s
[lio] t=1317400969.943 | feat 3340/8160 | map   2786 | icp ok  iter  3 corr  2904 rms 0.0388   11.21 ms | p=(   38.65   -19.10   2.10) v=4.63 m/s
[lio] t=1317400970.047 | feat 3458/8160 | map   2786 | icp ok  iter  5 corr  3097 rms 0.0456   20.17 ms | p=(   39.03   -19.41   2.12) v=4.56 m/s [KF]
[lio] t=1317400970.151 | feat 3217/8160 | map   2850 | icp ok  iter  4 corr  2878 rms 0.0336   14.41 ms | p=(   39.38   -19.71   2.15) v=4.42 m/s
[lio] t=1317400970.255 | feat 3466/8160 | map   2850 | icp ok  iter  4 corr  3116 rms 0.0379   15.70 ms | p=(   39.74   -20.02   2.17) v=4.36 m/s
[lio] t=1317400970.360 | feat 3537/8160 | map   2850 | icp ok  iter  4 corr  3190 rms 0.0478   15.09 ms | p=(   40.08   -20.33   2.19) v=4.32 m/s [KF]
[lio] t=1317400970.464 | feat 3489/8160 | map   2876 | icp ok  iter  3 corr  3167 rms 0.0272   12.27 ms | p=(   40.39   -20.64   2.22) v=4.15 m/s
[lio] t=1317400970.568 | feat 3753/8160 | map   2876 | icp ok  iter  3 corr  3404 rms 0.0320   11.32 ms | p=(   40.67   -20.96   2.24) v=4.04 m/s
[lio] t=1317400970.672 | feat 3660/8160 | map   2876 | icp ok  iter  3 corr  3308 rms 0.0302   14.50 ms | p=(   40.94   -21.28   2.26) v=3.90 m/s [KF]
[lio] t=1317400970.777 | feat 3606/8160 | map   2936 | icp ok  iter  4 corr  3235 rms 0.0370   14.48 ms | p=(   41.20   -21.61   2.28) v=3.86 m/s
[lio] t=1317400970.881 | feat 3555/8160 | map   2936 | icp ok  iter  3 corr  3069 rms 0.0380   11.66 ms | p=(   41.44   -21.94   2.30) v=3.83 m/s
[lio] t=1317400970.985 | feat 3616/8160 | map   2936 | icp ok  iter  3 corr  3098 rms 0.0463   11.38 ms | p=(   41.66   -22.27   2.32) v=3.76 m/s [KF]
[lio] t=1317400971.089 | feat 3666/8160 | map   3040 | icp ok  iter  3 corr  3353 rms 0.0414   12.69 ms | p=(   41.85   -22.61   2.34) v=3.69 m/s
[lio] t=1317400971.194 | feat 3505/8160 | map   3040 | icp ok  iter  4 corr  3174 rms 0.0410   14.82 ms | p=(   42.03   -22.96   2.36) v=3.72 m/s
[lio] t=1317400971.298 | feat 3524/8160 | map   3040 | icp ok  iter  4 corr  3208 rms 0.0436   15.62 ms | p=(   42.21   -23.30   2.39) v=3.62 m/s [KF]
[lio] t=1317400971.402 | feat 3295/8160 | map   3114 | icp ok  iter  3 corr  2950 rms 0.0382   12.01 ms | p=(   42.35   -23.65   2.40) v=3.60 m/s
[lio] t=1317400971.506 | feat 3485/8160 | map   3114 | icp ok  iter  3 corr  3211 rms 0.0492   13.17 ms | p=(   42.47   -24.01   2.41) v=3.57 m/s
