[INFO] [1789097398.660271151] [rosbag2_storage]: Opened database '/home/chanho/data/kitti/lidar/output_ros2.db3' for READ_ONLY.
[INFO] [1789097406.416632826] [paced_bag_player]: first odometry after 17 scans; 15 consumed by initialization
[INFO] [1789097409.245738142] [paced_bag_player]: scan 100 | bag t=   10.3s | odometry 83 | skipped 15 | wall      9s (11.7 scans/s)
[INFO] [1789097413.161370169] [paced_bag_player]: scan 200 | bag t=   20.7s | odometry 183 | skipped 15 | wall     12s (16.0 scans/s)
[INFO] [1789097416.988508920] [paced_bag_player]: scan 300 | bag t=   31.1s | odometry 283 | skipped 15 | wall     16s (18.4 scans/s)
[INFO] [1789097420.819281064] [paced_bag_player]: scan 400 | bag t=   41.5s | odometry 383 | skipped 15 | wall     20s (19.9 scans/s)
[INFO] [1789097424.648405378] [paced_bag_player]: scan 500 | bag t=   51.9s | odometry 483 | skipped 15 | wall     24s (20.9 scans/s)
[INFO] [1789097428.495565839] [paced_bag_player]: scan 600 | bag t=   62.2s | odometry 583 | skipped 15 | wall     28s (21.6 scans/s)
[INFO] [1789097432.454575200] [paced_bag_player]: scan 700 | bag t=   72.6s | odometry 683 | skipped 15 | wall     32s (22.0 scans/s)
[INFO] [1789097436.243378047] [paced_bag_player]: scan 800 | bag t=   83.0s | odometry 783 | skipped 15 | wall     36s (22.5 scans/s)
[INFO] [1789097439.633071763] [paced_bag_player]: scan 900 | bag t=   93.4s | odometry 883 | skipped 15 | wall     39s (23.1 scans/s)
[INFO] [1789097443.647526932] [paced_bag_player]: scan 1000 | bag t=  103.8s | odometry 983 | skipped 15 | wall     43s (23.3 scans/s)
[INFO] [1789097449.161371386] [paced_bag_player]: scan 1100 | bag t=  114.2s | odometry 1083 | skipped 15 | wall     48s (22.7 scans/s)
[INFO] [1789097454.114497758] [paced_bag_player]: scan 1200 | bag t=  124.6s | odometry 1183 | skipped 15 | wall     53s (22.5 scans/s)
[INFO] [1789097458.670407174] [paced_bag_player]: scan 1300 | bag t=  135.0s | odometry 1283 | skipped 15 | wall     58s (22.4 scans/s)
[INFO] [1789097462.989534593] [paced_bag_player]: scan 1400 | bag t=  145.3s | odometry 1383 | skipped 15 | wall     62s (22.5 scans/s)
