[INFO] [1789104288.846028254] [rosbag2_storage]: Opened database '/home/chanho/data/kitti/lidar/output_ros2.db3' for READ_ONLY.
[INFO] [1789104299.983250164] [paced_bag_player]: first odometry after 27 scans; 24 consumed by initialization
[INFO] [1789104305.061182283] [paced_bag_player]: scan 100 | bag t=   10.3s | odometry 74 | skipped 24 | wall     14s (7.0 scans/s)
[INFO] [1789104312.323490235] [paced_bag_player]: scan 200 | bag t=   20.7s | odometry 174 | skipped 24 | wall     21s (9.3 scans/s)
[INFO] [1789104320.509905310] [paced_bag_player]: scan 300 | bag t=   31.1s | odometry 274 | skipped 24 | wall     30s (10.1 scans/s)
[INFO] [1789104329.140613508] [paced_bag_player]: scan 400 | bag t=   41.5s | odometry 374 | skipped 24 | wall     38s (10.5 scans/s)
[INFO] [1789104336.576005712] [paced_bag_player]: scan 500 | bag t=   51.9s | odometry 474 | skipped 24 | wall     46s (10.9 scans/s)
[INFO] [1789104344.457334867] [paced_bag_player]: scan 600 | bag t=   62.2s | odometry 574 | skipped 24 | wall     54s (11.2 scans/s)
[INFO] [1789104352.911147867] [paced_bag_player]: scan 700 | bag t=   72.6s | odometry 674 | skipped 24 | wall     62s (11.3 scans/s)
[INFO] [1789104362.567906620] [paced_bag_player]: scan 800 | bag t=   83.0s | odometry 774 | skipped 24 | wall     72s (11.2 scans/s)
[INFO] [1789104370.149605123] [paced_bag_player]: scan 900 | bag t=   93.4s | odometry 874 | skipped 24 | wall     79s (11.4 scans/s)
[INFO] [1789104380.019249429] [paced_bag_player]: scan 1000 | bag t=  103.8s | odometry 974 | skipped 24 | wall     89s (11.2 scans/s)
[INFO] [1789104389.758807738] [paced_bag_player]: scan 1100 | bag t=  114.2s | odometry 1074 | skipped 24 | wall     99s (11.1 scans/s)
[INFO] [1789104403.474617511] [paced_bag_player]: scan 1200 | bag t=  124.6s | odometry 1174 | skipped 24 | wall    113s (10.7 scans/s)
[INFO] [1789104415.896319973] [paced_bag_player]: scan 1300 | bag t=  135.0s | odometry 1274 | skipped 24 | wall    125s (10.4 scans/s)
[INFO] [1789104427.972236564] [paced_bag_player]: scan 1400 | bag t=  145.3s | odometry 1374 | skipped 24 | wall    137s (10.2 scans/s)
[INFO] [1789104440.164114139] [paced_bag_player]: scan 1500 | bag t=  155.7s | odometry 1474 | skipped 24 | wall    149s (10.0 scans/s)
[INFO] [1789104451.984989518] [paced_bag_player]: scan 1600 | bag t=  166.1s | odometry 1574 | skipped 24 | wall    161s (9.9 scans/s)
[INFO] [1789104459.522183204] [paced_bag_player]: scan 1700 | bag t=  176.5s | odometry 1674 | skipped 24 | wall    169s (10.1 scans/s)
[INFO] [1789104466.054721772] [paced_bag_player]: scan 1800 | bag t=  186.9s | odometry 1774 | skipped 24 | wall    175s (10.3 scans/s)
[INFO] [1789104476.095436641] [paced_bag_player]: scan 1900 | bag t=  197.3s | odometry 1874 | skipped 24 | wall    185s (10.3 scans/s)
[INFO] [1789104483.093386694] [paced_bag_player]: scan 2000 | bag t=  207.7s | odometry 1974 | skipped 24 | wall    192s (10.4 scans/s)
[INFO] [1789104490.178329788] [paced_bag_player]: scan 2100 | bag t=  218.1s | odometry 2074 | skipped 24 | wall    199s (10.5 scans/s)
[INFO] [1789104501.984877278] [paced_bag_player]: scan 2200 | bag t=  228.5s | odometry 2174 | skipped 24 | wall    211s (10.4 scans/s)
[INFO] [1789104509.532903983] [paced_bag_player]: scan 2300 | bag t=  238.8s | odometry 2274 | skipped 24 | wall    219s (10.5 scans/s)
[INFO] [1789104515.526814062] [paced_bag_player]: scan 2400 | bag t=  249.2s | odometry 2374 | skipped 24 | wall    225s (10.7 scans/s)
[INFO] [1789104524.812593372] [paced_bag_player]: scan 2500 | bag t=  259.6s | odometry 2474 | skipped 24 | wall    234s (10.7 scans/s)
[INFO] [1789104534.037903729] [paced_bag_player]: scan 2600 | bag t=  270.0s | odometry 2574 | skipped 24 | wall    243s (10.7 scans/s)
[INFO] [1789104543.102560218] [paced_bag_player]: scan 2700 | bag t=  280.4s | odometry 2674 | skipped 24 | wall    252s (10.7 scans/s)
[INFO] [1789104555.759515442] [paced_bag_player]: scan 2800 | bag t=  290.8s | odometry 2774 | skipped 24 | wall    265s (10.6 scans/s)
[INFO] [1789104568.348887629] [paced_bag_player]: scan 2900 | bag t=  301.2s | odometry 2874 | skipped 24 | wall    277s (10.5 scans/s)
[INFO] [1789104582.021064350] [paced_bag_player]: scan 3000 | bag t=  311.6s | odometry 2974 | skipped 24 | wall    291s (10.3 scans/s)
[INFO] [1789104591.667998142] [paced_bag_player]: scan 3100 | bag t=  322.0s | odometry 3074 | skipped 24 | wall    301s (10.3 scans/s)
[INFO] [1789104597.817358368] [paced_bag_player]: scan 3200 | bag t=  332.4s | odometry 3174 | skipped 24 | wall    307s (10.4 scans/s)
[INFO] [1789104604.189802887] [paced_bag_player]: scan 3300 | bag t=  342.8s | odometry 3274 | skipped 24 | wall    313s (10.5 scans/s)
[INFO] [1789104610.188268252] [paced_bag_player]: scan 3400 | bag t=  353.2s | odometry 3374 | skipped 24 | wall    319s (10.6 scans/s)
[INFO] [1789104615.994431927] [paced_bag_player]: scan 3500 | bag t=  363.6s | odometry 3474 | skipped 24 | wall    325s (10.8 scans/s)
[INFO] [1789104622.715176386] [paced_bag_player]: scan 3600 | bag t=  374.0s | odometry 3574 | skipped 24 | wall    332s (10.8 scans/s)
[INFO] [1789104631.290413192] [paced_bag_player]: scan 3700 | bag t=  384.4s | odometry 3674 | skipped 24 | wall    340s (10.9 scans/s)
[INFO] [1789104639.052625788] [paced_bag_player]: scan 3800 | bag t=  394.8s | odometry 3774 | skipped 24 | wall    348s (10.9 scans/s)
[INFO] [1789104647.444647351] [paced_bag_player]: scan 3900 | bag t=  405.1s | odometry 3874 | skipped 24 | wall    357s (10.9 scans/s)
[INFO] [1789104657.196943419] [paced_bag_player]: scan 4000 | bag t=  415.5s | odometry 3974 | skipped 24 | wall    366s (10.9 scans/s)
[INFO] [1789104668.983154214] [paced_bag_player]: scan 4100 | bag t=  425.9s | odometry 4074 | skipped 24 | wall    378s (10.8 scans/s)
[INFO] [1789104679.555713600] [paced_bag_player]: scan 4200 | bag t=  436.3s | odometry 4174 | skipped 24 | wall    389s (10.8 scans/s)
[INFO] [1789104686.332877549] [paced_bag_player]: scan 4300 | bag t=  446.7s | odometry 4274 | skipped 24 | wall    395s (10.9 scans/s)
[INFO] [1789104693.022652036] [paced_bag_player]: scan 4400 | bag t=  457.1s | odometry 4374 | skipped 24 | wall    402s (10.9 scans/s)
[INFO] [1789104700.626837383] [paced_bag_player]: scan 4500 | bag t=  467.5s | odometry 4474 | skipped 24 | wall    410s (11.0 scans/s)
[INFO] [1789104708.999218321] [paced_bag_player]: scan 4600 | bag t=  477.9s | odometry 4574 | skipped 24 | wall    418s (11.0 scans/s)
[INFO] [1789104715.691737176] [paced_bag_player]: scan 4700 | bag t=  488.3s | odometry 4674 | skipped 24 | wall    425s (11.1 scans/s)
[INFO] [1789104721.869181139] [paced_bag_player]: scan 4800 | bag t=  498.7s | odometry 4774 | skipped 24 | wall    431s (11.1 scans/s)
[INFO] [1789104730.104425766] [paced_bag_player]: scan 4900 | bag t=  509.1s | odometry 4874 | skipped 24 | wall    439s (11.2 scans/s)
