[INFO] [1789097621.051448268] [rosbag2_storage]: Opened database '/home/chanho/data/kitti/lidar/output_ros2.db3' for READ_ONLY.
[INFO] [1789097628.808897148] [paced_bag_player]: first odometry after 17 scans; 15 consumed by initialization
[INFO] [1789097636.303127388] [paced_bag_player]: scan 100 | bag t=   10.3s | odometry 83 | skipped 15 | wall     13s (7.6 scans/s)
[INFO] [1789097646.038568073] [paced_bag_player]: scan 200 | bag t=   20.7s | odometry 183 | skipped 15 | wall     23s (8.7 scans/s)
[INFO] [1789097655.406588771] [paced_bag_player]: scan 300 | bag t=   31.1s | odometry 283 | skipped 15 | wall     32s (9.3 scans/s)
[INFO] [1789097664.687638380] [paced_bag_player]: scan 400 | bag t=   41.5s | odometry 383 | skipped 15 | wall     42s (9.6 scans/s)
[INFO] [1789097673.473534607] [paced_bag_player]: scan 500 | bag t=   51.9s | odometry 483 | skipped 15 | wall     50s (9.9 scans/s)
[INFO] [1789097682.718950000] [paced_bag_player]: scan 600 | bag t=   62.2s | odometry 583 | skipped 15 | wall     60s (10.1 scans/s)
[INFO] [1789097691.416461916] [paced_bag_player]: scan 700 | bag t=   72.6s | odometry 683 | skipped 15 | wall     68s (10.2 scans/s)
[INFO] [1789097700.630889325] [paced_bag_player]: scan 800 | bag t=   83.0s | odometry 783 | skipped 15 | wall     78s (10.3 scans/s)
[INFO] [1789097709.354823834] [paced_bag_player]: scan 900 | bag t=   93.4s | odometry 883 | skipped 15 | wall     86s (10.4 scans/s)
[INFO] [1789097718.916883820] [paced_bag_player]: scan 1000 | bag t=  103.8s | odometry 983 | skipped 15 | wall     96s (10.4 scans/s)
[INFO] [1789097728.410991264] [paced_bag_player]: scan 1100 | bag t=  114.2s | odometry 1083 | skipped 15 | wall    105s (10.4 scans/s)
[INFO] [1789097738.882959462] [paced_bag_player]: scan 1200 | bag t=  124.6s | odometry 1183 | skipped 15 | wall    116s (10.4 scans/s)
[INFO] [1789097749.486134322] [paced_bag_player]: scan 1300 | bag t=  135.0s | odometry 1283 | skipped 15 | wall    126s (10.3 scans/s)
[INFO] [1789097759.735115075] [paced_bag_player]: scan 1400 | bag t=  145.3s | odometry 1383 | skipped 15 | wall    137s (10.2 scans/s)
[INFO] [1789097770.317616407] [paced_bag_player]: scan 1500 | bag t=  155.7s | odometry 1483 | skipped 15 | wall    147s (10.2 scans/s)
[INFO] [1789097780.118572704] [paced_bag_player]: scan 1600 | bag t=  166.1s | odometry 1583 | skipped 15 | wall    157s (10.2 scans/s)
[INFO] [1789097789.017967428] [paced_bag_player]: scan 1700 | bag t=  176.5s | odometry 1683 | skipped 15 | wall    166s (10.2 scans/s)
[INFO] [1789097796.611168452] [paced_bag_player]: scan 1800 | bag t=  186.9s | odometry 1783 | skipped 15 | wall    174s (10.4 scans/s)
[INFO] [1789097807.180778514] [paced_bag_player]: scan 1900 | bag t=  197.3s | odometry 1883 | skipped 15 | wall    184s (10.3 scans/s)
[INFO] [1789097815.883943510] [paced_bag_player]: scan 2000 | bag t=  207.7s | odometry 1983 | skipped 15 | wall    193s (10.4 scans/s)
[INFO] [1789097824.355387160] [paced_bag_player]: scan 2100 | bag t=  218.1s | odometry 2083 | skipped 15 | wall    201s (10.4 scans/s)
[INFO] [1789097835.310236625] [paced_bag_player]: scan 2200 | bag t=  228.5s | odometry 2183 | skipped 15 | wall    212s (10.4 scans/s)
[INFO] [1789097844.771325518] [paced_bag_player]: scan 2300 | bag t=  238.8s | odometry 2283 | skipped 15 | wall    222s (10.4 scans/s)
[INFO] [1789097852.504466307] [paced_bag_player]: scan 2400 | bag t=  249.2s | odometry 2383 | skipped 15 | wall    229s (10.5 scans/s)
[INFO] [1789097862.229360023] [paced_bag_player]: scan 2500 | bag t=  259.6s | odometry 2483 | skipped 15 | wall    239s (10.5 scans/s)
