[INFO] [1789104761.208126780] [lidar_inertial_odometer]: lidar_inertial_odometer ready (point-to-point ICP)
[INFO] [1789104761.208203779] [lidar_inertial_odometer]:   topics : lidar='/points_raw' imu='/imu_raw'
[INFO] [1789104761.208211864] [lidar_inertial_odometer]:   frames : odom -> imu_link -> velodyne
[INFO] [1789104761.208217803] [lidar_inertial_odometer]:   ring   : selection=all band=[31,63] -> 33/64 ch (dropped 0 above + 31 below)
[INFO] [1789104761.208224988] [lidar_inertial_odometer]:   input  : voxelized points (no normal estimation)
[INFO] [1789104766.731897408] [lidar_inertial_odometer]: static TF imu_link -> velodyne : t=[0.8105 -0.3071 0.8027]
[INFO] [1789104775.163692964] [lidar_inertial_odometer]: odometer initialized (t=1317400964.327)
[lio] initialized at t=1317400964.326695 | |a|=9.843 m/s^2
[lio] t=1317400964.327 | feat 5727/76972 | map      0 | icp REJ iter  0 corr     0 rms 0.0000    0.00 ms | p=(    0.00     0.00  -0.00) v=0.00 m/s [KF]
[lio] t=1317400964.431 | feat 5844/78053 | map   4296 | icp ok  iter 13 corr  5727 rms 0.3897  116.31 ms | p=(    0.53    -0.24   0.04) v=3.82 m/s
[lio] t=1317400964.535 | feat 5824/80188 | map   4296 | icp ok  iter 24 corr  5713 rms 0.4915  149.11 ms | p=(    1.15    -0.52   0.09) v=5.50 m/s [KF]
[lio] t=1317400964.639 | feat 5785/81867 | map   6273 | icp ok  iter  4 corr  5767 rms 0.3603   27.10 ms | p=(    1.69    -0.77   0.13) v=5.66 m/s
[lio] t=1317400964.743 | feat 5719/81418 | map   6273 | icp ok  iter 15 corr  5647 rms 0.3935   96.05 ms | p=(    2.36    -1.08   0.18) v=6.61 m/s [KF]
[lio] t=1317400964.847 | feat 5575/81365 | map   7664 | icp ok  iter 12 corr  5574 rms 0.2942   66.88 ms | p=(    2.92    -1.36   0.22) v=6.32 m/s
[lio] t=1317400964.951 | feat 5517/81323 | map   7664 | icp ok  iter 10 corr  5510 rms 0.3628   64.95 ms | p=(    3.57    -1.68   0.28) v=6.80 m/s [KF]
[lio] t=1317400965.055 | feat 5469/81293 | map   8675 | icp ok  iter  8 corr  5466 rms 0.2863   46.29 ms | p=(    4.19    -1.98   0.32) v=6.75 m/s
[lio] t=1317400965.159 | feat 5331/81172 | map   8675 | icp ok  iter 11 corr  5305 rms 0.3561   58.07 ms | p=(    4.86    -2.31   0.38) v=7.05 m/s [KF]
[lio] t=1317400965.263 | feat 5426/81003 | map   9570 | icp ok  iter 10 corr  5345 rms 0.3023   53.31 ms | p=(    5.50    -2.63   0.43) v=7.01 m/s
[lio] t=1317400965.367 | feat 5669/80889 | map   9570 | icp ok  iter  9 corr  5415 rms 0.4583   53.25 ms | p=(    6.20    -2.98   0.49) v=7.38 m/s [KF]
[lio] t=1317400965.470 | feat 5979/81085 | map  10657 | icp ok  iter  7 corr  5860 rms 0.4158   45.32 ms | p=(    6.90    -3.33   0.53) v=7.54 m/s
[lio] t=1317400965.574 | feat 6307/80554 | map  10657 | icp ok  iter  8 corr  5997 rms 0.5476   47.13 ms | p=(    7.59    -3.67   0.58) v=7.55 m/s [KF]
[lio] t=1317400965.678 | feat 6429/80643 | map  12089 | icp ok  iter  7 corr  6423 rms 0.3112   47.85 ms | p=(    8.32    -4.02   0.64) v=7.76 m/s
[lio] t=1317400965.782 | feat 6461/80678 | map  12089 | icp ok  iter 10 corr  6427 rms 0.4232   61.47 ms | p=(    9.08    -4.38   0.70) v=8.01 m/s [KF]
[lio] t=1317400965.885 | feat 6463/80656 | map  13279 | icp ok  iter  7 corr  6453 rms 0.3194   50.98 ms | p=(    9.81    -4.70   0.75) v=7.89 m/s
[lio] t=1317400965.989 | feat 6531/80261 | map  13279 | icp ok  iter  9 corr  6509 rms 0.4087   56.31 ms | p=(   10.57    -5.05   0.81) v=8.00 m/s [KF]
[lio] t=1317400966.093 | feat 6604/79712 | map  14487 | icp ok  iter  8 corr  6601 rms 0.2744   51.31 ms | p=(   11.34    -5.39   0.87) v=8.02 m/s
[lio] t=1317400966.197 | feat 6521/79151 | map  14487 | icp ok  iter  7 corr  6509 rms 0.3494   43.42 ms | p=(   12.10    -5.71   0.92) v=7.96 m/s [KF]
[lio] t=1317400966.301 | feat 6336/78420 | map  15495 | icp ok  iter 10 corr  6333 rms 0.2594   60.74 ms | p=(   12.88    -6.03   0.98) v=7.99 m/s
[lio] t=1317400966.405 | feat 6191/78551 | map  15495 | icp ok  iter  6 corr  6160 rms 0.3371   39.15 ms | p=(   13.64    -6.36   1.03) v=7.90 m/s [KF]
[lio] t=1317400966.509 | feat 6107/79024 | map  16385 | icp ok  iter  9 corr  6092 rms 0.3057   57.91 ms | p=(   14.42    -6.68   1.09) v=7.98 m/s
[lio] t=1317400966.613 | feat 5853/78883 | map  16385 | icp ok  iter  9 corr  5841 rms 0.3434   50.59 ms | p=(   15.17    -6.98   1.14) v=7.80 m/s [KF]
[lio] t=1317400966.716 | feat 5622/78457 | map  17120 | icp ok  iter 10 corr  5612 rms 0.2633   59.55 ms | p=(   15.94    -7.29   1.19) v=7.89 m/s
[lio] t=1317400966.820 | feat 5419/77923 | map  17120 | icp ok  iter 11 corr  5400 rms 0.2871   56.71 ms | p=(   16.68    -7.58   1.24) v=7.70 m/s [KF]
[lio] t=1317400966.924 | feat 5357/77441 | map  17649 | icp ok  iter 10 corr  5357 rms 0.2388   60.23 ms | p=(   17.46    -7.90   1.30) v=7.88 m/s
[lio] t=1317400967.028 | feat 5323/77388 | map  17649 | icp ok  iter 10 corr  5319 rms 0.2920   53.54 ms | p=(   18.20    -8.18   1.35) v=7.63 m/s [KF]
[lio] t=1317400967.132 | feat 5310/77808 | map  18144 | icp ok  iter  7 corr  5299 rms 0.2719   44.03 ms | p=(   18.97    -8.49   1.40) v=7.76 m/s
[lio] t=1317400967.236 | feat 5281/77433 | map  18144 | icp ok  iter  2 corr  5235 rms 0.2682   14.06 ms | p=(   19.71    -8.77   1.45) v=7.58 m/s [KF]
[lio] t=1317400967.340 | feat 5305/77000 | map  18596 | icp ok  iter 10 corr  5303 rms 0.2504   52.18 ms | p=(   20.45    -9.06   1.50) v=7.51 m/s
[lio] t=1317400967.444 | feat 5371/76812 | map  18596 | icp ok  iter  8 corr  5366 rms 0.3182   40.95 ms | p=(   21.18    -9.34   1.55) v=7.41 m/s [KF]
[lio] t=1317400967.548 | feat 5336/76470 | map  19074 | icp ok  iter  8 corr  5334 rms 0.2597   41.76 ms | p=(   21.90    -9.62   1.61) v=7.31 m/s
[lio] t=1317400967.652 | feat 5394/76691 | map  19074 | icp ok  iter  6 corr  5379 rms 0.3267   30.39 ms | p=(   22.59    -9.89   1.65) v=7.07 m/s [KF]
[lio] t=1317400967.756 | feat 5378/76994 | map  19637 | icp ok  iter  7 corr  5357 rms 0.2522   43.95 ms | p=(   23.29   -10.15   1.70) v=7.03 m/s
[lio] t=1317400967.860 | feat 5523/77461 | map  19637 | icp ok  iter 12 corr  5495 rms 0.3165   58.23 ms | p=(   23.98   -10.42   1.75) v=6.88 m/s [KF]
[lio] t=1317400967.964 | feat 5533/77642 | map  20111 | icp ok  iter  7 corr  5515 rms 0.2930   37.14 ms | p=(   24.63   -10.67   1.80) v=6.65 m/s
[lio] t=1317400968.068 | feat 5685/78089 | map  20111 | icp ok  iter 15 corr  5671 rms 0.4056   82.72 ms | p=(   25.32   -10.93   1.84) v=6.84 m/s [KF]
[lio] t=1317400968.172 | feat 5645/78293 | map  20685 | icp ok  iter 12 corr  5633 rms 0.2859   71.02 ms | p=(   25.94   -11.16   1.89) v=6.39 m/s
[lio] t=1317400968.276 | feat 5679/78268 | map  20685 | icp ok  iter 13 corr  5649 rms 0.4198   78.31 ms | p=(   26.62   -11.42   1.93) v=6.66 m/s [KF]
[lio] t=1317400968.380 | feat 5596/78614 | map  21366 | icp ok  iter 13 corr  5594 rms 0.2689   73.91 ms | p=(   27.20   -11.65   1.97) v=6.10 m/s
[lio] t=1317400968.484 | feat 5485/78757 | map  21366 | icp ok  iter 14 corr  5464 rms 0.3432   81.85 ms | p=(   27.83   -11.92   2.02) v=6.27 m/s [KF]
[lio] t=1317400968.588 | feat 5539/79133 | map  21891 | icp ok  iter 11 corr  5533 rms 0.2798   63.57 ms | p=(   28.38   -12.14   2.06) v=5.77 m/s
[lio] t=1317400968.693 | feat 5479/79245 | map  21891 | icp ok  iter  9 corr  5408 rms 0.3200   55.80 ms | p=(   28.95   -12.39   2.10) v=5.79 m/s [KF]
[lio] t=1317400968.797 | feat 5659/79053 | map  22399 | icp ok  iter  8 corr  5657 rms 0.2629   47.26 ms | p=(   29.51   -12.63   2.15) v=5.67 m/s
[lio] t=1317400968.901 | feat 5646/78925 | map  22399 | icp ok  iter 12 corr  5614 rms 0.3366   68.53 ms | p=(   30.06   -12.89   2.19) v=5.70 m/s [KF]
[lio] t=1317400969.005 | feat 5653/79206 | map  22882 | icp ok  iter  5 corr  5645 rms 0.2656   28.01 ms | p=(   30.59   -13.13   2.23) v=5.53 m/s
[lio] t=1317400969.109 | feat 5795/79611 | map  22882 | icp ok  iter 10 corr  5773 rms 0.3889   57.22 ms | p=(   31.13   -13.39   2.27) v=5.53 m/s [KF]
[lio] t=1317400969.213 | feat 5887/80113 | map  23410 | icp ok  iter 10 corr  5877 rms 0.2858   55.67 ms | p=(   31.64   -13.64   2.30) v=5.37 m/s
[lio] t=1317400969.317 | feat 6026/80384 | map  23410 | icp ok  iter  9 corr  5936 rms 0.4162   55.93 ms | p=(   32.15   -13.90   2.35) v=5.33 m/s [KF]
[lio] t=1317400969.421 | feat 6094/80965 | map  24076 | icp ok  iter  7 corr  6079 rms 0.3070   41.99 ms | p=(   32.63   -14.14   2.38) v=5.10 m/s
[lio] t=1317400969.526 | feat 6073/81270 | map  24076 | icp ok  iter 16 corr  6059 rms 0.3278   98.40 ms | p=(   33.10   -14.41   2.43) v=5.08 m/s [KF]
[lio] t=1317400969.630 | feat 6025/81556 | map  24132 | icp ok  iter  5 corr  6024 rms 0.2271   36.86 ms | p=(   33.55   -14.68   2.45) v=4.96 m/s
[lio] t=1317400969.734 | feat 6107/81541 | map  24132 | icp ok  iter 10 corr  6106 rms 0.2755   62.00 ms | p=(   33.99   -14.95   2.50) v=4.83 m/s [KF]
[lio] t=1317400969.838 | feat 6066/81548 | map  23970 | icp ok  iter 10 corr  6063 rms 0.2368   62.46 ms | p=(   34.42   -15.23   2.53) v=4.76 m/s
[lio] t=1317400969.943 | feat 6168/81537 | map  23970 | icp ok  iter  8 corr  6165 rms 0.2452   51.54 ms | p=(   34.83   -15.51   2.57) v=4.63 m/s [KF]
[lio] t=1317400970.047 | feat 6335/81319 | map  23668 | icp ok  iter  9 corr  6333 rms 0.2529   56.69 ms | p=(   35.21   -15.80   2.60) v=4.48 m/s
[lio] t=1317400970.151 | feat 6579/81139 | map  23668 | icp ok  iter 11 corr  6546 rms 0.3472   72.28 ms | p=(   35.59   -16.08   2.65) v=4.42 m/s
[lio] t=1317400970.255 | feat 6815/80764 | map  23668 | icp ok  iter  9 corr  6755 rms 0.3999   64.28 ms | p=(   35.94   -16.38   2.68) v=4.29 m/s [KF]
[lio] t=1317400970.360 | feat 7007/80570 | map  23792 | icp ok  iter 13 corr  6996 rms 0.2515   85.94 ms | p=(   36.28   -16.68   2.70) v=4.21 m/s
[lio] t=1317400970.464 | feat 7101/80497 | map  23792 | icp ok  iter  9 corr  7069 rms 0.3136   69.07 ms | p=(   36.62   -16.98   2.75) v=4.15 m/s
[lio] t=1317400970.568 | feat 7117/80493 | map  23792 | icp ok  iter  9 corr  7069 rms 0.3616   67.14 ms | p=(   36.92   -17.29   2.79) v=4.05 m/s [KF]
[lio] t=1317400970.672 | feat 7283/80554 | map  24090 | icp ok  iter  6 corr  7281 rms 0.2337   44.32 ms | p=(   37.19   -17.58   2.82) v=3.79 m/s
[lio] t=1317400970.777 | feat 7334/80640 | map  24090 | icp ok  iter 11 corr  7329 rms 0.3051   85.27 ms | p=(   37.47   -17.91   2.86) v=3.89 m/s
[lio] t=1317400970.881 | feat 7382/80701 | map  24090 | icp ok  iter  6 corr  7364 rms 0.3786   42.52 ms | p=(   37.71   -18.23   2.89) v=3.76 m/s [KF]
[lio] t=1317400970.985 | feat 7422/80659 | map  24272 | icp ok  iter  7 corr  7421 rms 0.2699   54.35 ms | p=(   37.94   -18.55   2.92) v=3.68 m/s
[lio] t=1317400971.089 | feat 7516/80445 | map  24272 | icp ok  iter 20 corr  7510 rms 0.2747  149.62 ms | p=(   38.15   -18.88   2.96) v=3.63 m/s
[lio] t=1317400971.194 | feat 7472/80351 | map  24272 | icp ok  iter 11 corr  7455 rms 0.3171   83.50 ms | p=(   38.34   -19.22   2.99) v=3.65 m/s [KF]
