[INFO] [1789104764.371978776] [rosbag2_storage]: Opened database '/home/chanho/data/kitti/lidar/output_ros2.db3' for READ_ONLY.
[INFO] [1789104775.500207338] [paced_bag_player]: first odometry after 27 scans; 24 consumed by initialization
[INFO] [1789104780.883669413] [paced_bag_player]: scan 100 | bag t=   10.3s | odometry 74 | skipped 24 | wall     14s (6.9 scans/s)
[INFO] [1789104788.622605962] [paced_bag_player]: scan 200 | bag t=   20.7s | odometry 174 | skipped 24 | wall     22s (9.0 scans/s)
[INFO] [1789104798.302690242] [paced_bag_player]: scan 300 | bag t=   31.1s | odometry 274 | skipped 24 | wall     32s (9.4 scans/s)
[INFO] [1789104808.788592555] [paced_bag_player]: scan 400 | bag t=   41.5s | odometry 374 | skipped 24 | wall     42s (9.4 scans/s)
[INFO] [1789104816.901099633] [paced_bag_player]: scan 500 | bag t=   51.9s | odometry 474 | skipped 24 | wall     51s (9.9 scans/s)
[INFO] [1789104826.012666407] [paced_bag_player]: scan 600 | bag t=   62.2s | odometry 574 | skipped 24 | wall     60s (10.1 scans/s)
[INFO] [1789104836.210529441] [paced_bag_player]: scan 700 | bag t=   72.6s | odometry 674 | skipped 24 | wall     70s (10.0 scans/s)
[INFO] [1789104848.444487505] [paced_bag_player]: scan 800 | bag t=   83.0s | odometry 774 | skipped 24 | wall     82s (9.7 scans/s)
[INFO] [1789104857.871889862] [paced_bag_player]: scan 900 | bag t=   93.4s | odometry 874 | skipped 24 | wall     91s (9.8 scans/s)
[INFO] [1789104870.622214188] [paced_bag_player]: scan 1000 | bag t=  103.8s | odometry 974 | skipped 24 | wall    104s (9.6 scans/s)
[INFO] [1789104884.534856259] [paced_bag_player]: scan 1100 | bag t=  114.2s | odometry 1074 | skipped 24 | wall    118s (9.3 scans/s)
[INFO] [1789104905.809942720] [paced_bag_player]: scan 1200 | bag t=  124.6s | odometry 1174 | skipped 24 | wall    139s (8.6 scans/s)
[INFO] [1789104921.084769570] [paced_bag_player]: scan 1300 | bag t=  135.0s | odometry 1274 | skipped 24 | wall    155s (8.4 scans/s)
[INFO] [1789104935.694459711] [paced_bag_player]: scan 1400 | bag t=  145.3s | odometry 1374 | skipped 24 | wall    169s (8.3 scans/s)
[INFO] [1789104950.795158314] [paced_bag_player]: scan 1500 | bag t=  155.7s | odometry 1474 | skipped 24 | wall    184s (8.1 scans/s)
[INFO] [1789104967.020564526] [paced_bag_player]: scan 1600 | bag t=  166.1s | odometry 1574 | skipped 24 | wall    201s (8.0 scans/s)
[INFO] [1789104975.525883713] [paced_bag_player]: scan 1700 | bag t=  176.5s | odometry 1674 | skipped 24 | wall    209s (8.1 scans/s)
[INFO] [1789104983.426244288] [paced_bag_player]: scan 1800 | bag t=  186.9s | odometry 1774 | skipped 24 | wall    217s (8.3 scans/s)
[INFO] [1789104996.780912220] [paced_bag_player]: scan 1900 | bag t=  197.3s | odometry 1874 | skipped 24 | wall    230s (8.2 scans/s)
[INFO] [1789105005.472186769] [paced_bag_player]: scan 2000 | bag t=  207.7s | odometry 1974 | skipped 24 | wall    239s (8.4 scans/s)
[INFO] [1789105014.375131766] [paced_bag_player]: scan 2100 | bag t=  218.1s | odometry 2074 | skipped 24 | wall    248s (8.5 scans/s)
[INFO] [1789105031.294484460] [paced_bag_player]: scan 2200 | bag t=  228.5s | odometry 2174 | skipped 24 | wall    265s (8.3 scans/s)
[INFO] [1789105039.426326405] [paced_bag_player]: scan 2300 | bag t=  238.8s | odometry 2274 | skipped 24 | wall    273s (8.4 scans/s)
[INFO] [1789105046.505590745] [paced_bag_player]: scan 2400 | bag t=  249.2s | odometry 2374 | skipped 24 | wall    280s (8.6 scans/s)
[INFO] [1789105057.811187629] [paced_bag_player]: scan 2500 | bag t=  259.6s | odometry 2474 | skipped 24 | wall    291s (8.6 scans/s)
[INFO] [1789105069.351942793] [paced_bag_player]: scan 2600 | bag t=  270.0s | odometry 2574 | skipped 24 | wall    303s (8.6 scans/s)
[INFO] [1789105080.908827747] [paced_bag_player]: scan 2700 | bag t=  280.4s | odometry 2674 | skipped 24 | wall    315s (8.6 scans/s)
[INFO] [1789105099.607597195] [paced_bag_player]: scan 2800 | bag t=  290.8s | odometry 2774 | skipped 24 | wall    333s (8.4 scans/s)
[INFO] [1789105115.750895257] [paced_bag_player]: scan 2900 | bag t=  301.2s | odometry 2874 | skipped 24 | wall    349s (8.3 scans/s)
[INFO] [1789105134.325312923] [paced_bag_player]: scan 3000 | bag t=  311.6s | odometry 2974 | skipped 24 | wall    368s (8.2 scans/s)
[INFO] [1789105148.131227992] [paced_bag_player]: scan 3100 | bag t=  322.0s | odometry 3074 | skipped 24 | wall    382s (8.1 scans/s)
[INFO] [1789105157.279609524] [paced_bag_player]: scan 3200 | bag t=  332.4s | odometry 3174 | skipped 24 | wall    391s (8.2 scans/s)
[INFO] [1789105164.767648952] [paced_bag_player]: scan 3300 | bag t=  342.8s | odometry 3274 | skipped 24 | wall    398s (8.3 scans/s)
[INFO] [1789105171.664462410] [paced_bag_player]: scan 3400 | bag t=  353.2s | odometry 3374 | skipped 24 | wall    405s (8.4 scans/s)
[INFO] [1789105178.164635767] [paced_bag_player]: scan 3500 | bag t=  363.6s | odometry 3474 | skipped 24 | wall    412s (8.5 scans/s)
[INFO] [1789105186.052669137] [paced_bag_player]: scan 3600 | bag t=  374.0s | odometry 3574 | skipped 24 | wall    420s (8.6 scans/s)
[INFO] [1789105196.854876518] [paced_bag_player]: scan 3700 | bag t=  384.4s | odometry 3674 | skipped 24 | wall    430s (8.6 scans/s)
[INFO] [1789105206.257993660] [paced_bag_player]: scan 3800 | bag t=  394.8s | odometry 3774 | skipped 24 | wall    440s (8.6 scans/s)
[INFO] [1789105215.697815099] [paced_bag_player]: scan 3900 | bag t=  405.1s | odometry 3874 | skipped 24 | wall    449s (8.7 scans/s)
[INFO] [1789105228.045078207] [paced_bag_player]: scan 4000 | bag t=  415.5s | odometry 3974 | skipped 24 | wall    462s (8.7 scans/s)
