[INFO] [1789098119.323686397] [lidar_inertial_odometer]: lidar_inertial_odometer ready (point-to-point ICP)
[INFO] [1789098119.323825512] [lidar_inertial_odometer]:   topics : lidar='/points_raw' imu='/imu_raw'
[INFO] [1789098119.323834789] [lidar_inertial_odometer]:   frames : odom -> imu_link -> velodyne
[INFO] [1789098119.323840992] [lidar_inertial_odometer]:   ring   : selection=all band=[16,47] -> 32/64 ch (dropped 16 above + 16 below)
[INFO] [1789098119.323848039] [lidar_inertial_odometer]:   input  : voxelized points (no normal estimation)
[INFO] [1789098124.844418102] [lidar_inertial_odometer]: static TF imu_link -> velodyne : t=[0.8105 -0.3071 0.8027]
[INFO] [1789098129.904541426] [lidar_inertial_odometer]: odometer initialized (t=1317400963.391)
[lio] initialized at t=1317400963.390639 | |a|=9.844 m/s^2
[lio] t=1317400963.391 | feat 3275/53438 | map      0 | icp REJ iter  0 corr     0 rms 0.0000    0.00 ms | p=(    0.00    -0.00  -0.00) v=0.00 m/s [KF]
[lio] t=1317400963.495 | feat 3213/52821 | map   2439 | icp ok  iter  7 corr  3209 rms 0.3545   22.17 ms | p=(    0.04    -0.01  -0.00) v=0.27 m/s
[lio] t=1317400963.599 | feat 3104/50564 | map   2439 | icp ok  iter  6 corr  3097 rms 0.4788   19.46 ms | p=(    0.02     0.02  -0.01) v=0.12 m/s
[lio] t=1317400963.703 | feat 3098/49283 | map   2439 | icp ok  iter  5 corr  3079 rms 0.5883   16.07 ms | p=(    0.03     0.02  -0.01) v=0.07 m/s
[lio] t=1317400963.807 | feat 3063/48006 | map   2439 | icp ok  iter  8 corr  3000 rms 0.7255   22.07 ms | p=(    0.04     0.03  -0.01) v=0.09 m/s
[lio] t=1317400963.911 | feat 2956/46816 | map   2439 | icp ok  iter  7 corr  2843 rms 0.7406   20.17 ms | p=(    0.04     0.04   0.00) v=0.10 m/s
[lio] t=1317400964.015 | feat 2965/46998 | map   2439 | icp ok  iter  8 corr  2807 rms 0.7821   23.97 ms | p=(    0.07     0.03   0.01) v=0.24 m/s
[lio] t=1317400964.119 | feat 2851/48000 | map   2439 | icp ok  iter  7 corr  2676 rms 0.8603   19.53 ms | p=(    0.10     0.01   0.02) v=0.34 m/s
[lio] t=1317400964.223 | feat 2830/48732 | map   2439 | icp ok  iter 15 corr  2650 rms 0.9224   44.50 ms | p=(    0.06     0.03   0.02) v=0.13 m/s
[lio] t=1317400964.327 | feat 2729/49531 | map   2439 | icp ok  iter 31 corr  2573 rms 0.9399   86.53 ms | p=(    0.14     0.22   0.02) v=1.18 m/s
[lio] t=1317400964.431 | feat 2729/50812 | map   2439 | icp ok  iter 16 corr  2571 rms 0.9736   44.93 ms | p=(    0.09     0.23   0.02) v=0.46 m/s
[lio] t=1317400964.535 | feat 2765/52060 | map   2439 | icp ok  iter 24 corr  2567 rms 0.9643   71.60 ms | p=(   -0.04     0.34   0.01) v=1.09 m/s
[lio] t=1317400964.639 | feat 2756/52416 | map   2439 | icp ok  iter 50 corr  2496 rms 0.9651  138.40 ms | p=(   -0.40     0.44  -0.02) v=2.54 m/s
[lio] t=1317400964.743 | feat 2703/51758 | map   2439 | icp ok  iter 10 corr  2435 rms 0.9086   22.95 ms | p=(   -0.67     0.53  -0.04) v=2.60 m/s
[lio] t=1317400964.847 | feat 2690/51551 | map   2439 | icp ok  iter 50 corr  2447 rms 0.8598  150.83 ms | p=(   -0.84     0.73  -0.05) v=2.40 m/s [KF]
[lio] t=1317400964.951 | feat 2703/51403 | map   3868 | icp ok  iter 11 corr  2700 rms 0.4133   27.60 ms | p=(   -1.07     0.82  -0.06) v=2.29 m/s
[lio] t=1317400965.055 | feat 2725/51426 | map   3868 | icp ok  iter 50 corr  2719 rms 0.4469  188.26 ms | p=(   -0.47     0.47  -0.02) v=3.21 m/s
[lio] t=1317400965.159 | feat 2714/51752 | map   3868 | icp ok  iter 50 corr  2712 rms 0.4409  165.11 ms | p=(    0.28     0.04   0.03) v=6.43 m/s [KF]
[lio] t=1317400965.263 | feat 2731/53657 | map   4743 | icp ok  iter 12 corr  2731 rms 0.2809   36.42 ms | p=(    0.93    -0.32   0.07) v=6.95 m/s
[lio] t=1317400965.367 | feat 2729/54709 | map   4743 | icp ok  iter 14 corr  2711 rms 0.3641   39.31 ms | p=(    1.62    -0.72   0.11) v=7.44 m/s [KF]
