[INFO] [1789098122.485147317] [rosbag2_storage]: Opened database '/home/chanho/data/kitti/lidar/output_ros2.db3' for READ_ONLY.
[INFO] [1789098130.241865444] [paced_bag_player]: first odometry after 17 scans; 15 consumed by initialization
[INFO] [1789098135.684953490] [paced_bag_player]: scan 100 | bag t=   10.3s | odometry 83 | skipped 15 | wall     11s (8.9 scans/s)
[INFO] [1789098142.584880597] [paced_bag_player]: scan 200 | bag t=   20.7s | odometry 183 | skipped 15 | wall     18s (11.1 scans/s)
[INFO] [1789098149.518856424] [paced_bag_player]: scan 300 | bag t=   31.1s | odometry 283 | skipped 15 | wall     25s (12.0 scans/s)
[INFO] [1789098157.984768601] [paced_bag_player]: scan 400 | bag t=   41.5s | odometry 383 | skipped 15 | wall     33s (11.9 scans/s)
[INFO] [1789098166.791131308] [paced_bag_player]: scan 500 | bag t=   51.9s | odometry 483 | skipped 15 | wall     42s (11.8 scans/s)
[INFO] [1789098177.045466044] [paced_bag_player]: scan 600 | bag t=   62.2s | odometry 583 | skipped 15 | wall     53s (11.4 scans/s)
[INFO] [1789098185.080439649] [paced_bag_player]: scan 700 | bag t=   72.6s | odometry 683 | skipped 15 | wall     61s (11.6 scans/s)
[INFO] [1789098200.299114242] [paced_bag_player]: scan 800 | bag t=   83.0s | odometry 783 | skipped 15 | wall     76s (10.6 scans/s)
[INFO] [1789098205.052106158] [paced_bag_player]: scan 900 | bag t=   93.4s | odometry 883 | skipped 15 | wall     81s (11.2 scans/s)
[INFO] [1789098218.892636646] [paced_bag_player]: scan 1000 | bag t=  103.8s | odometry 983 | skipped 15 | wall     94s (10.6 scans/s)
[INFO] [1789098229.800584790] [paced_bag_player]: scan 1100 | bag t=  114.2s | odometry 1083 | skipped 15 | wall    105s (10.4 scans/s)
[INFO] [1789098246.817816086] [paced_bag_player]: scan 1200 | bag t=  124.6s | odometry 1183 | skipped 15 | wall    122s (9.8 scans/s)
[INFO] [1789098253.771366832] [paced_bag_player]: scan 1300 | bag t=  135.0s | odometry 1283 | skipped 15 | wall    129s (10.1 scans/s)
[INFO] [1789098259.621316814] [paced_bag_player]: scan 1400 | bag t=  145.3s | odometry 1383 | skipped 15 | wall    135s (10.4 scans/s)
[INFO] [1789098265.603491863] [paced_bag_player]: scan 1500 | bag t=  155.7s | odometry 1483 | skipped 15 | wall    141s (10.6 scans/s)
[INFO] [1789098283.437951808] [paced_bag_player]: scan 1600 | bag t=  166.1s | odometry 1583 | skipped 15 | wall    159s (10.1 scans/s)
[INFO] [1789098291.250535321] [paced_bag_player]: scan 1700 | bag t=  176.5s | odometry 1683 | skipped 15 | wall    167s (10.2 scans/s)
[INFO] [1789098300.325082398] [paced_bag_player]: scan 1800 | bag t=  186.9s | odometry 1783 | skipped 15 | wall    176s (10.2 scans/s)
[INFO] [1789098315.548111025] [paced_bag_player]: scan 1900 | bag t=  197.3s | odometry 1883 | skipped 15 | wall    191s (9.9 scans/s)
[INFO] [1789098324.442246862] [paced_bag_player]: scan 2000 | bag t=  207.7s | odometry 1983 | skipped 15 | wall    200s (10.0 scans/s)
[INFO] [1789098331.616414437] [paced_bag_player]: scan 2100 | bag t=  218.1s | odometry 2083 | skipped 15 | wall    207s (10.1 scans/s)
[INFO] [1789098348.901713914] [paced_bag_player]: scan 2200 | bag t=  228.5s | odometry 2183 | skipped 15 | wall    224s (9.8 scans/s)
[INFO] [1789098359.623994647] [paced_bag_player]: scan 2300 | bag t=  238.8s | odometry 2283 | skipped 15 | wall    235s (9.8 scans/s)
[INFO] [1789098367.227201737] [paced_bag_player]: scan 2400 | bag t=  249.2s | odometry 2383 | skipped 15 | wall    243s (9.9 scans/s)
[INFO] [1789098378.848860202] [paced_bag_player]: scan 2500 | bag t=  259.6s | odometry 2483 | skipped 15 | wall    254s (9.8 scans/s)
[INFO] [1789098387.689551059] [paced_bag_player]: scan 2600 | bag t=  270.0s | odometry 2583 | skipped 15 | wall    263s (9.9 scans/s)
[INFO] [1789098398.253667799] [paced_bag_player]: scan 2700 | bag t=  280.4s | odometry 2683 | skipped 15 | wall    274s (9.9 scans/s)
[INFO] [1789098411.737813616] [paced_bag_player]: scan 2800 | bag t=  290.8s | odometry 2783 | skipped 15 | wall    287s (9.7 scans/s)
[INFO] [1789098418.297933102] [paced_bag_player]: scan 2900 | bag t=  301.2s | odometry 2883 | skipped 15 | wall    294s (9.9 scans/s)
[INFO] [1789098439.416421138] [paced_bag_player]: scan 3000 | bag t=  311.6s | odometry 2983 | skipped 15 | wall    315s (9.5 scans/s)
[INFO] [1789098451.652095991] [paced_bag_player]: scan 3100 | bag t=  322.0s | odometry 3083 | skipped 15 | wall    327s (9.5 scans/s)
[INFO] [1789098459.551446184] [paced_bag_player]: scan 3200 | bag t=  332.4s | odometry 3183 | skipped 15 | wall    335s (9.6 scans/s)
[INFO] [1789098467.230568377] [paced_bag_player]: scan 3300 | bag t=  342.8s | odometry 3283 | skipped 15 | wall    343s (9.6 scans/s)
[INFO] [1789098473.338327560] [paced_bag_player]: scan 3400 | bag t=  353.2s | odometry 3383 | skipped 15 | wall    349s (9.7 scans/s)
[INFO] [1789098478.647784825] [paced_bag_player]: scan 3500 | bag t=  363.6s | odometry 3483 | skipped 15 | wall    354s (9.9 scans/s)
[INFO] [1789098485.791650258] [paced_bag_player]: scan 3600 | bag t=  374.0s | odometry 3583 | skipped 15 | wall    361s (10.0 scans/s)
[INFO] [1789098496.836784578] [paced_bag_player]: scan 3700 | bag t=  384.4s | odometry 3683 | skipped 15 | wall    372s (9.9 scans/s)
[INFO] [1789098506.707051845] [paced_bag_player]: scan 3800 | bag t=  394.8s | odometry 3783 | skipped 15 | wall    382s (9.9 scans/s)
[INFO] [1789098514.216900497] [paced_bag_player]: scan 3900 | bag t=  405.1s | odometry 3883 | skipped 15 | wall    390s (10.0 scans/s)
[INFO] [1789098530.337913512] [paced_bag_player]: scan 4000 | bag t=  415.5s | odometry 3983 | skipped 15 | wall    406s (9.9 scans/s)
[INFO] [1789098545.642826954] [paced_bag_player]: scan 4100 | bag t=  425.9s | odometry 4083 | skipped 15 | wall    421s (9.7 scans/s)
[INFO] [1789098563.116636140] [paced_bag_player]: scan 4200 | bag t=  436.3s | odometry 4183 | skipped 15 | wall    439s (9.6 scans/s)
[INFO] [1789098569.445724443] [paced_bag_player]: scan 4300 | bag t=  446.7s | odometry 4283 | skipped 15 | wall    445s (9.7 scans/s)
[INFO] [1789098576.013438337] [paced_bag_player]: scan 4400 | bag t=  457.1s | odometry 4383 | skipped 15 | wall    452s (9.7 scans/s)
[INFO] [1789098585.858995252] [paced_bag_player]: scan 4500 | bag t=  467.5s | odometry 4483 | skipped 15 | wall    461s (9.8 scans/s)
[INFO] [1789098598.145113408] [paced_bag_player]: scan 4600 | bag t=  477.9s | odometry 4583 | skipped 15 | wall    474s (9.7 scans/s)
[INFO] [1789098606.696097042] [paced_bag_player]: scan 4700 | bag t=  488.3s | odometry 4683 | skipped 15 | wall    482s (9.7 scans/s)
